'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[12:00:00.000]',-0.540,0.019
'[12:00:00.004]',-0.527,0.024
'[12:00:00.008]',-0.519,0.029
'[12:00:00.012]',-0.505,0.030
'[12:00:00.016]',-0.504,0.030
'[12:00:00.020]',-0.504,0.031
'[12:00:00.024]',-0.499,0.036
'[12:00:00.028]',-0.496,0.043
'[12:00:00.032]',-0.475,0.043
'[12:00:00.036]',-0.456,0.048
'[12:00:00.040]',-0.429,0.050
'[12:00:00.044]',-0.419,0.054
'[12:00:00.048]',-0.400,0.055
'[12:00:00.052]',-0.375,0.055
'[12:00:00.056]',-0.354,0.064
'[12:00:00.060]',-0.329,0.064
'[12:00:00.064]',-0.311,0.061
'[12:00:00.068]',-0.284,0.059
'[12:00:00.072]',-0.266,0.055
'[12:00:00.076]',-0.254,0.050
'[12:00:00.080]',-0.258,0.046
'[12:00:00.084]',-0.259,0.043
'[12:00:00.088]',-0.263,0.039
'[12:00:00.092]',-0.276,0.039
'[12:00:00.096]',-0.291,0.036
'[12:00:00.100]',-0.318,0.037
'[12:00:00.104]',-0.334,0.036
'[12:00:00.108]',-0.352,0.035
'[12:00:00.112]',-0.362,0.030
'[12:00:00.116]',-0.369,0.030
'[12:00:00.120]',-0.379,0.030
'[12:00:00.124]',-0.386,0.029
'[12:00:00.128]',-0.398,0.029
'[12:00:00.132]',-0.400,0.029
'[12:00:00.136]',-0.419,0.029
'[12:00:00.140]',-0.434,0.030
'[12:00:00.144]',-0.450,0.030
'[12:00:00.148]',-0.453,0.030
'[12:00:00.152]',-0.453,0.029
'[12:00:00.156]',-0.458,0.025
'[12:00:00.160]',-0.461,0.020
'[12:00:00.164]',-0.470,0.020
'[12:00:00.168]',-0.466,0.020
'[12:00:00.172]',-0.470,0.020
'[12:00:00.176]',-0.463,0.020
'[12:00:00.180]',-0.459,0.019
'[12:00:00.184]',-0.459,0.019
'[12:00:00.188]',-0.454,0.018
'[12:00:00.192]',-0.459,0.015
'[12:00:00.196]',-0.456,0.018
'[12:00:00.200]',-0.465,0.019
'[12:00:00.204]',-0.459,0.025
'[12:00:00.208]',-0.456,0.029
'[12:00:00.212]',-0.449,0.026
'[12:00:00.216]',-0.441,0.025
'[12:00:00.220]',-0.439,0.022
'[12:00:00.224]',-0.440,0.021
'[12:00:00.228]',-0.440,0.021
'[12:00:00.232]',-0.431,0.022
'[12:00:00.236]',-0.427,0.021
'[12:00:00.240]',-0.425,0.020
'[12:00:00.244]',-0.425,0.021
