'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[10:15:00.000]',-0.010,-0.020
'[10:15:00.004]',-0.013,-0.021
'[10:15:00.008]',-0.010,-0.020
'[10:15:00.012]',-0.011,-0.018
'[10:15:00.016]',-0.007,-0.016
'[10:15:00.020]',-0.005,-0.015
'[10:15:00.024]',-0.006,-0.015
'[10:15:00.028]',-0.007,-0.013
'[10:15:00.032]',-0.009,-0.011
'[10:15:00.036]',-0.007,-0.007
'[10:15:00.040]',-0.006,-0.006
'[10:15:00.044]',-0.005,-0.005
'[10:15:00.048]',-0.003,0.000
'[10:15:00.052]',-0.006,0.014
'[10:15:00.056]',-0.005,0.026
'[10:15:00.060]',-0.003,0.031
'[10:15:00.064]',0.000,0.029
'[10:15:00.068]',0.000,0.015
'[10:15:00.072]',0.003,0.004
'[10:15:00.076]',0.009,-0.004
'[10:15:00.080]',0.018,-0.005
'[10:15:00.084]',0.029,-0.006
'[10:15:00.088]',0.037,-0.009
'[10:15:00.092]',0.045,-0.009
'[10:15:00.096]',0.050,-0.011
'[10:15:00.100]',0.054,-0.011
'[10:15:00.104]',0.058,-0.010
'[10:15:00.108]',0.060,-0.010
'[10:15:00.112]',0.062,-0.010
'[10:15:00.116]',0.064,-0.006
'[10:15:00.120]',0.065,-0.003
'[10:15:00.124]',0.066,-0.003
'[10:15:00.128]',0.068,0.001
'[10:15:00.132]',0.070,0.006
'[10:15:00.136]',0.076,0.007
'[10:15:00.140]',0.076,0.004
'[10:15:00.144]',0.079,0.000
'[10:15:00.148]',0.075,-0.001
'[10:15:00.152]',0.070,-0.005
'[10:15:00.156]',0.060,-0.007
'[10:15:00.160]',0.051,-0.010
'[10:15:00.164]',0.044,-0.011
'[10:15:00.168]',0.033,-0.011
'[10:15:00.172]',0.028,-0.011
'[10:15:00.176]',0.022,-0.011
'[10:15:00.180]',0.022,-0.011
'[10:15:00.184]',0.021,-0.014
'[10:15:00.188]',0.020,-0.018
'[10:15:00.192]',0.020,-0.018
'[10:15:00.196]',0.019,-0.016
'[10:15:00.200]',0.019,-0.013
'[10:15:00.204]',0.019,-0.011
'[10:15:00.208]',0.019,-0.014
'[10:15:00.212]',0.018,-0.016
'[10:15:00.216]',0.019,-0.019
'[10:15:00.220]',0.022,-0.019
'[10:15:00.224]',0.022,-0.021
'[10:15:00.228]',0.025,-0.022
'[10:15:00.232]',0.020,-0.025
'[10:15:00.236]',0.022,-0.028
'[10:15:00.240]',0.024,-0.033
'[10:15:00.244]',0.024,-0.040
'[10:15:00.248]',0.024,-0.041
'[10:15:00.252]',0.024,-0.043
'[10:15:00.256]',0.031,-0.049
'[10:15:00.260]',0.034,-0.068
'[10:15:00.264]',0.043,-0.111
'[10:15:00.268]',0.046,-0.182
'[10:15:00.272]',0.049,-0.263
'[10:15:00.276]',0.048,-0.318
'[10:15:00.280]',0.050,-0.360
'[10:15:00.284]',0.066,-0.383
'[10:15:00.288]',0.077,-0.398
'[10:15:00.292]',0.095,-0.396
'[10:15:00.296]',0.106,-0.389
'[10:15:00.300]',0.120,-0.375
'[10:15:00.304]',0.135,-0.355
'[10:15:00.308]',0.163,-0.340
'[10:15:00.312]',0.190,-0.319
'[10:15:00.316]',0.234,-0.311
'[10:15:00.320]',0.279,-0.290
'[10:15:00.324]',0.310,-0.260
'[10:15:00.328]',0.330,-0.219
'[10:15:00.332]',0.325,-0.176
'[10:15:00.336]',0.325,-0.128
'[10:15:00.340]',0.309,-0.071
'[10:15:00.344]',0.279,-0.030
'[10:15:00.348]',0.207,-0.009
'[10:15:00.352]',0.101,0.005
'[10:15:00.356]',0.004,0.016
'[10:15:00.360]',-0.062,0.028
'[10:15:00.364]',-0.083,0.036
'[10:15:00.368]',-0.071,0.040
'[10:15:00.372]',-0.058,0.044
'[10:15:00.376]',-0.049,0.049
'[10:15:00.380]',-0.045,0.052
'[10:15:00.384]',-0.036,0.054
'[10:15:00.388]',-0.025,0.060
'[10:15:00.392]',-0.015,0.064
'[10:15:00.396]',-0.011,0.065
'[10:15:00.400]',-0.011,0.068
'[10:15:00.404]',-0.014,0.068
'[10:15:00.408]',-0.014,0.068
'[10:15:00.412]',-0.015,0.066
'[10:15:00.416]',-0.019,0.068
'[10:15:00.420]',-0.020,0.068
'[10:15:00.424]',-0.020,0.070
'[10:15:00.428]',-0.016,0.071
'[10:15:00.432]',-0.016,0.071
'[10:15:00.436]',-0.011,0.070
'[10:15:00.440]',-0.011,0.069
'[10:15:00.444]',-0.015,0.070
'[10:15:00.448]',-0.016,0.071
'[10:15:00.452]',-0.016,0.074
'[10:15:00.456]',-0.015,0.075
'[10:15:00.460]',-0.018,0.076
'[10:15:00.464]',-0.016,0.079
'[10:15:00.468]',-0.018,0.083
'[10:15:00.472]',-0.016,0.083
'[10:15:00.476]',-0.016,0.081
'[10:15:00.480]',-0.014,0.081
'[10:15:00.484]',-0.016,0.079
'[10:15:00.488]',-0.015,0.077
