'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[10:38:00.000]',0.214,0.168
'[10:38:00.004]',0.217,0.169
'[10:38:00.008]',0.211,0.164
'[10:38:00.012]',0.209,0.161
'[10:38:00.016]',0.204,0.158
'[10:38:00.020]',0.201,0.158
'[10:38:00.024]',0.199,0.151
'[10:38:00.028]',0.195,0.145
'[10:38:00.032]',0.198,0.139
'[10:38:00.036]',0.191,0.136
'[10:38:00.040]',0.186,0.130
'[10:38:00.044]',0.175,0.122
'[10:38:00.048]',0.169,0.116
'[10:38:00.052]',0.165,0.113
'[10:38:00.056]',0.158,0.109
'[10:38:00.060]',0.154,0.104
'[10:38:00.064]',0.140,0.098
'[10:38:00.068]',0.139,0.092
'[10:38:00.072]',0.133,0.091
'[10:38:00.076]',0.129,0.087
'[10:38:00.080]',0.120,0.076
'[10:38:00.084]',0.115,0.070
'[10:38:00.088]',0.113,0.065
'[10:38:00.092]',0.109,0.062
'[10:38:00.096]',0.106,0.060
'[10:38:00.100]',0.100,0.058
'[10:38:00.104]',0.099,0.059
'[10:38:00.108]',0.095,0.054
'[10:38:00.112]',0.091,0.044
'[10:38:00.116]',0.090,0.034
'[10:38:00.120]',0.090,0.029
'[10:38:00.124]',0.091,0.030
'[10:38:00.128]',0.081,0.026
'[10:38:00.132]',0.077,0.028
'[10:38:00.136]',0.071,0.030
'[10:38:00.140]',0.074,0.039
'[10:38:00.144]',0.070,0.045
'[10:38:00.148]',0.070,0.055
'[10:38:00.152]',0.077,0.066
'[10:38:00.156]',0.079,0.075
'[10:38:00.160]',0.087,0.080
'[10:38:00.164]',0.098,0.080
'[10:38:00.168]',0.114,0.086
'[10:38:00.172]',0.121,0.086
'[10:38:00.176]',0.128,0.090
'[10:38:00.180]',0.134,0.090
'[10:38:00.184]',0.133,0.096
'[10:38:00.188]',0.134,0.107
'[10:38:00.192]',0.131,0.122
'[10:38:00.196]',0.135,0.140
'[10:38:00.200]',0.138,0.154
'[10:38:00.204]',0.150,0.169
'[10:38:00.208]',0.159,0.172
'[10:38:00.212]',0.174,0.171
'[10:38:00.216]',0.190,0.165
'[10:38:00.220]',0.203,0.163
'[10:38:00.224]',0.211,0.163
'[10:38:00.228]',0.207,0.163
'[10:38:00.232]',0.205,0.168
'[10:38:00.236]',0.200,0.164
'[10:38:00.240]',0.200,0.161
'[10:38:00.244]',0.200,0.147
'[10:38:00.248]',0.201,0.131
'[10:38:00.252]',0.200,0.105
'[10:38:00.256]',0.198,0.083
'[10:38:00.260]',0.190,0.059
'[10:38:00.264]',0.171,0.034
'[10:38:00.268]',0.154,0.016
'[10:38:00.272]',0.128,0.003
'[10:38:00.276]',0.104,-0.007
'[10:38:00.280]',0.074,-0.018
'[10:38:00.284]',0.051,-0.030
'[10:38:00.288]',0.035,-0.039
'[10:38:00.292]',0.021,-0.045
'[10:38:00.296]',0.014,-0.046
'[10:38:00.300]',0.000,-0.049
'[10:38:00.304]',-0.007,-0.052
'[10:38:00.308]',-0.015,-0.054
'[10:38:00.312]',-0.022,-0.060
'[10:38:00.316]',-0.030,-0.064
'[10:38:00.320]',-0.036,-0.064
'[10:38:00.324]',-0.041,-0.059
'[10:38:00.328]',-0.045,-0.056
'[10:38:00.332]',-0.048,-0.055
'[10:38:00.336]',-0.052,-0.048
'[10:38:00.340]',-0.054,-0.026
'[10:38:00.344]',-0.055,0.004
'[10:38:00.348]',-0.059,0.045
'[10:38:00.352]',-0.059,0.099
'[10:38:00.356]',-0.051,0.159
'[10:38:00.360]',-0.030,0.210
'[10:38:00.364]',-0.007,0.250
'[10:38:00.368]',0.033,0.287
'[10:38:00.372]',0.081,0.329
'[10:38:00.376]',0.129,0.364
'[10:38:00.380]',0.161,0.364
'[10:38:00.384]',0.195,0.343
'[10:38:00.388]',0.241,0.295
'[10:38:00.392]',0.271,0.225
'[10:38:00.396]',0.289,0.124
'[10:38:00.400]',0.281,0.016
'[10:38:00.404]',0.263,-0.085
'[10:38:00.408]',0.215,-0.172
'[10:38:00.412]',0.139,-0.242
'[10:38:00.416]',0.052,-0.281
'[10:38:00.420]',-0.031,-0.294
'[10:38:00.424]',-0.114,-0.290
'[10:38:00.428]',-0.180,-0.280
'[10:38:00.432]',-0.230,-0.269
'[10:38:00.436]',-0.249,-0.251
'[10:38:00.440]',-0.255,-0.225
'[10:38:00.444]',-0.253,-0.191
'[10:38:00.448]',-0.253,-0.163
'[10:38:00.452]',-0.242,-0.138
'[10:38:00.456]',-0.226,-0.113
'[10:38:00.460]',-0.205,-0.089
'[10:38:00.464]',-0.181,-0.074
'[10:38:00.468]',-0.164,-0.065
'[10:38:00.472]',-0.140,-0.059
'[10:38:00.476]',-0.119,-0.054
'[10:38:00.480]',-0.101,-0.048
'[10:38:00.484]',-0.098,-0.044
'[10:38:00.488]',-0.092,-0.039
'[10:38:00.492]',-0.087,-0.034
'[10:38:00.496]',-0.084,-0.025
'[10:38:00.500]',-0.081,-0.024
'[10:38:00.504]',-0.077,-0.025
'[10:38:00.508]',-0.068,-0.022
'[10:38:00.512]',-0.066,-0.020
