'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[10:20:00.000]',-0.275,-0.199
'[10:20:00.004]',-0.265,-0.191
'[10:20:00.008]',-0.259,-0.188
'[10:20:00.012]',-0.244,-0.182
'[10:20:00.016]',-0.229,-0.181
'[10:20:00.020]',-0.219,-0.175
'[10:20:00.024]',-0.219,-0.170
'[10:20:00.028]',-0.216,-0.169
'[10:20:00.032]',-0.210,-0.163
'[10:20:00.036]',-0.201,-0.160
'[10:20:00.040]',-0.188,-0.159
'[10:20:00.044]',-0.172,-0.164
'[10:20:00.048]',-0.154,-0.166
'[10:20:00.052]',-0.145,-0.166
'[10:20:00.056]',-0.135,-0.165
'[10:20:00.060]',-0.128,-0.165
'[10:20:00.064]',-0.125,-0.165
'[10:20:00.068]',-0.128,-0.163
'[10:20:00.072]',-0.130,-0.164
'[10:20:00.076]',-0.122,-0.168
'[10:20:00.080]',-0.111,-0.174
'[10:20:00.084]',-0.101,-0.172
'[10:20:00.088]',-0.098,-0.172
'[10:20:00.092]',-0.090,-0.172
'[10:20:00.096]',-0.091,-0.170
'[10:20:00.100]',-0.099,-0.169
'[10:20:00.104]',-0.104,-0.161
'[10:20:00.108]',-0.105,-0.158
'[10:20:00.112]',-0.099,-0.149
'[10:20:00.116]',-0.101,-0.140
'[10:20:00.120]',-0.096,-0.129
'[10:20:00.124]',-0.090,-0.116
'[10:20:00.128]',-0.087,-0.100
'[10:20:00.132]',-0.091,-0.085
'[10:20:00.136]',-0.094,-0.070
'[10:20:00.140]',-0.090,-0.062
'[10:20:00.144]',-0.085,-0.056
'[10:20:00.148]',-0.077,-0.051
'[10:20:00.152]',-0.076,-0.055
'[10:20:00.156]',-0.070,-0.062
'[10:20:00.160]',-0.056,-0.083
'[10:20:00.164]',-0.048,-0.095
'[10:20:00.168]',-0.044,-0.104
'[10:20:00.172]',-0.040,-0.113
'[10:20:00.176]',-0.041,-0.111
'[10:20:00.180]',-0.046,-0.110
'[10:20:00.184]',-0.051,-0.109
'[10:20:00.188]',-0.051,-0.110
'[10:20:00.192]',-0.051,-0.106
'[10:20:00.196]',-0.050,-0.100
'[10:20:00.200]',-0.040,-0.089
'[10:20:00.204]',-0.031,-0.081
'[10:20:00.208]',-0.031,-0.089
'[10:20:00.212]',-0.035,-0.094
'[10:20:00.216]',-0.039,-0.101
'[10:20:00.220]',-0.029,-0.104
'[10:20:00.224]',-0.013,-0.106
'[10:20:00.228]',-0.001,-0.105
'[10:20:00.232]',-0.005,-0.105
'[10:20:00.236]',-0.018,-0.109
'[10:20:00.240]',-0.031,-0.110
'[10:20:00.244]',-0.044,-0.109
'[10:20:00.248]',-0.058,-0.105
'[10:20:00.252]',-0.070,-0.105
'[10:20:00.256]',-0.075,-0.101
'[10:20:00.260]',-0.080,-0.098
'[10:20:00.264]',-0.080,-0.095
'[10:20:00.268]',-0.075,-0.094
'[10:20:00.272]',-0.071,-0.091
'[10:20:00.276]',-0.079,-0.086
'[10:20:00.280]',-0.089,-0.085
'[10:20:00.284]',-0.090,-0.085
'[10:20:00.288]',-0.087,-0.084
'[10:20:00.292]',-0.080,-0.079
'[10:20:00.296]',-0.079,-0.076
'[10:20:00.300]',-0.076,-0.076
'[10:20:00.304]',-0.076,-0.074
'[10:20:00.308]',-0.079,-0.071
'[10:20:00.312]',-0.077,-0.068
'[10:20:00.316]',-0.074,-0.066
'[10:20:00.320]',-0.069,-0.064
'[10:20:00.324]',-0.076,-0.062
'[10:20:00.328]',-0.079,-0.062
'[10:20:00.332]',-0.076,-0.061
'[10:20:00.336]',-0.066,-0.061
'[10:20:00.340]',-0.062,-0.058
'[10:20:00.344]',-0.065,-0.055
'[10:20:00.348]',-0.066,-0.051
'[10:20:00.352]',-0.069,-0.052
'[10:20:00.356]',-0.077,-0.052
'[10:20:00.360]',-0.084,-0.051
'[10:20:00.364]',-0.080,-0.048
'[10:20:00.368]',-0.072,-0.046
'[10:20:00.372]',-0.069,-0.045
'[10:20:00.376]',-0.070,-0.044
'[10:20:00.380]',-0.066,-0.043
'[10:20:00.384]',-0.061,-0.040
'[10:20:00.388]',-0.064,-0.037
'[10:20:00.392]',-0.062,-0.035
'[10:20:00.396]',-0.064,-0.033
'[10:20:00.400]',-0.066,-0.029
'[10:20:00.404]',-0.069,-0.026
'[10:20:00.408]',-0.069,-0.022
'[10:20:00.412]',-0.062,-0.020
'[10:20:00.416]',-0.061,-0.019
'[10:20:00.420]',-0.061,-0.018
'[10:20:00.424]',-0.061,-0.013
'[10:20:00.428]',-0.054,-0.006
'[10:20:00.432]',-0.048,0.003
'[10:20:00.436]',-0.044,0.016
'[10:20:00.440]',-0.043,0.031
'[10:20:00.444]',-0.045,0.054
'[10:20:00.448]',-0.034,0.096
'[10:20:00.452]',-0.022,0.164
'[10:20:00.456]',-0.010,0.230
'[10:20:00.460]',0.005,0.259
'[10:20:00.464]',0.031,0.230
'[10:20:00.468]',0.079,0.125
'[10:20:00.472]',0.166,-0.016
'[10:20:00.476]',0.280,-0.169
'[10:20:00.480]',0.411,-0.304
'[10:20:00.484]',0.502,-0.384
'[10:20:00.488]',0.537,-0.436
'[10:20:00.492]',0.511,-0.446
'[10:20:00.496]',0.411,-0.415
'[10:20:00.500]',0.333,-0.331
'[10:20:00.504]',0.290,-0.206
'[10:20:00.508]',0.274,-0.111
'[10:20:00.512]',0.216,-0.048
'[10:20:00.516]',0.095,-0.011
'[10:20:00.520]',-0.055,0.009
'[10:20:00.524]',-0.182,0.018
'[10:20:00.528]',-0.247,0.020
'[10:20:00.532]',-0.280,0.020
'[10:20:00.536]',-0.287,0.019
'[10:20:00.540]',-0.258,0.018
'[10:20:00.544]',-0.215,0.019
'[10:20:00.548]',-0.176,0.022
'[10:20:00.552]',-0.147,0.025
'[10:20:00.556]',-0.126,0.026
'[10:20:00.560]',-0.105,0.030
'[10:20:00.564]',-0.087,0.034
'[10:20:00.568]',-0.081,0.039
'[10:20:00.572]',-0.081,0.043
'[10:20:00.576]',-0.080,0.044
'[10:20:00.580]',-0.083,0.048
'[10:20:00.584]',-0.081,0.049
'[10:20:00.588]',-0.079,0.050
'[10:20:00.592]',-0.072,0.050
'[10:20:00.596]',-0.071,0.054
'[10:20:00.600]',-0.074,0.055
'[10:20:00.604]',-0.070,0.056
'[10:20:00.608]',-0.065,0.060
'[10:20:00.612]',-0.066,0.062
'[10:20:00.616]',-0.068,0.068
'[10:20:00.620]',-0.062,0.072
'[10:20:00.624]',-0.064,0.075
'[10:20:00.628]',-0.060,0.080
'[10:20:00.632]',-0.061,0.084
'[10:20:00.636]',-0.062,0.087
'[10:20:00.640]',-0.064,0.085
'[10:20:00.644]',-0.061,0.089
'[10:20:00.648]',-0.055,0.094
'[10:20:00.652]',-0.055,0.095
'[10:20:00.656]',-0.052,0.099
'[10:20:00.660]',-0.056,0.106
'[10:20:00.664]',-0.062,0.115
'[10:20:00.668]',-0.070,0.115
'[10:20:00.672]',-0.074,0.120
'[10:20:00.676]',-0.076,0.121
'[10:20:00.680]',-0.076,0.125
'[10:20:00.684]',-0.071,0.129
'[10:20:00.688]',-0.076,0.133
'[10:20:00.692]',-0.085,0.139
'[10:20:00.696]',-0.086,0.140
'[10:20:00.700]',-0.085,0.144
'[10:20:00.704]',-0.081,0.147
'[10:20:00.708]',-0.085,0.156
'[10:20:00.712]',-0.087,0.160
'[10:20:00.716]',-0.092,0.164
'[10:20:00.720]',-0.092,0.166
'[10:20:00.724]',-0.092,0.174
'[10:20:00.728]',-0.096,0.182
'[10:20:00.732]',-0.092,0.184
'[10:20:00.736]',-0.011,0.182
'[10:20:00.740]',-0.064,0.182
'[10:20:00.744]',-0.079,0.186
'[10:20:00.748]',-0.074,0.182
'[10:20:00.752]',-0.070,0.186
'[10:20:00.756]',-0.062,0.193
'[10:20:00.760]',-0.059,0.194
'[10:20:00.764]',-0.056,0.194
'[10:20:00.768]',-0.054,0.185
'[10:20:00.772]',-0.052,0.188
'[10:20:00.776]',-0.045,0.184
'[10:20:00.780]',-0.031,0.184
'[10:20:00.784]',-0.016,0.179
'[10:20:00.788]',-0.005,0.176
'[10:20:00.792]',0.001,0.175
'[10:20:00.796]',0.007,0.171
'[10:20:00.800]',0.015,0.170
'[10:20:00.804]',0.018,0.164
'[10:20:00.808]',0.018,0.164
'[10:20:00.812]',0.021,0.160
'[10:20:00.816]',0.025,0.158
'[10:20:00.820]',0.028,0.156
'[10:20:00.824]',0.029,0.159
'[10:20:00.828]',0.031,0.159
'[10:20:00.832]',0.028,0.155
'[10:20:00.836]',0.025,0.152
'[10:20:00.840]',0.025,0.150
'[10:20:00.844]',0.030,0.151
'[10:20:00.848]',0.031,0.146
'[10:20:00.852]',0.030,0.145
'[10:20:00.856]',0.033,0.144
'[10:20:00.860]',0.028,0.141
'[10:20:00.864]',0.030,0.140
