'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[12:00:00.000]',-0.241,-0.234
'[12:00:00.004]',-0.234,-0.230
'[12:00:00.008]',-0.226,-0.229
'[12:00:00.012]',-0.220,-0.217
'[12:00:00.016]',-0.221,-0.215
'[12:00:00.020]',-0.220,-0.206
'[12:00:00.024]',-0.215,-0.206
'[12:00:00.028]',-0.207,-0.196
'[12:00:00.032]',-0.203,-0.193
'[12:00:00.036]',-0.201,-0.189
'[12:00:00.040]',-0.196,-0.188
'[12:00:00.044]',-0.194,-0.189
'[12:00:00.048]',-0.188,-0.185
'[12:00:00.052]',-0.184,-0.184
'[12:00:00.056]',-0.185,-0.180
'[12:00:00.060]',-0.184,-0.182
'[12:00:00.064]',-0.177,-0.182
'[12:00:00.068]',-0.176,-0.180
'[12:00:00.072]',-0.179,-0.180
'[12:00:00.076]',-0.177,-0.179
'[12:00:00.080]',-0.177,-0.180
'[12:00:00.084]',-0.174,-0.172
'[12:00:00.088]',-0.172,-0.168
'[12:00:00.092]',-0.174,-0.155
'[12:00:00.096]',-0.177,-0.149
'[12:00:00.100]',-0.177,-0.140
'[12:00:00.104]',-0.176,-0.126
'[12:00:00.108]',-0.179,-0.113
'[12:00:00.112]',-0.175,-0.102
'[12:00:00.116]',-0.171,-0.092
'[12:00:00.120]',-0.170,-0.080
'[12:00:00.124]',-0.168,-0.068
'[12:00:00.128]',-0.165,-0.058
'[12:00:00.132]',-0.163,-0.049
'[12:00:00.136]',-0.161,-0.040
'[12:00:00.140]',-0.156,-0.031
'[12:00:00.144]',-0.155,-0.026
'[12:00:00.148]',-0.150,-0.021
'[12:00:00.152]',-0.144,-0.015
'[12:00:00.156]',-0.136,-0.010
'[12:00:00.160]',-0.136,-0.011
'[12:00:00.164]',-0.134,-0.018
'[12:00:00.168]',-0.125,-0.018
'[12:00:00.172]',-0.121,-0.016
'[12:00:00.176]',-0.119,-0.021
'[12:00:00.180]',-0.116,-0.031
'[12:00:00.184]',-0.109,-0.040
'[12:00:00.188]',-0.114,-0.049
'[12:00:00.192]',-0.115,-0.056
'[12:00:00.196]',-0.115,-0.070
'[12:00:00.200]',-0.114,-0.079
'[12:00:00.204]',-0.114,-0.089
'[12:00:00.208]',-0.119,-0.104
'[12:00:00.212]',-0.121,-0.119
'[12:00:00.216]',-0.129,-0.134
'[12:00:00.220]',-0.131,-0.141
'[12:00:00.224]',-0.138,-0.154
'[12:00:00.228]',-0.147,-0.164
'[12:00:00.232]',-0.150,-0.179
'[12:00:00.236]',-0.155,-0.189
'[12:00:00.240]',-0.160,-0.194
'[12:00:00.244]',-0.170,-0.207
'[12:00:00.248]',-0.171,-0.212
'[12:00:00.252]',-0.177,-0.225
'[12:00:00.256]',-0.180,-0.225
'[12:00:00.260]',-0.186,-0.231
'[12:00:00.264]',-0.196,-0.237
'[12:00:00.268]',-0.195,-0.245
'[12:00:00.272]',-0.200,-0.250
'[12:00:00.276]',-0.200,-0.249
'[12:00:00.280]',-0.211,-0.256
'[12:00:00.284]',-0.215,-0.256
'[12:00:00.288]',-0.214,-0.263
'[12:00:00.292]',-0.216,-0.264
'[12:00:00.296]',-0.220,-0.269
'[12:00:00.300]',-0.228,-0.273
'[12:00:00.304]',-0.229,-0.276
'[12:00:00.308]',-0.233,-0.282
'[12:00:00.312]',-0.234,-0.276
'[12:00:00.316]',-0.240,-0.281
'[12:00:00.320]',-0.240,-0.276
'[12:00:00.324]',-0.240,-0.281
'[12:00:00.328]',-0.242,-0.270
'[12:00:00.332]',-0.245,-0.253
'[12:00:00.336]',-0.249,-0.234
'[12:00:00.340]',-0.245,-0.215
'[12:00:00.344]',-0.246,-0.200
'[12:00:00.348]',-0.241,-0.186
'[12:00:00.352]',-0.241,-0.186
'[12:00:00.356]',-0.240,-0.186
'[12:00:00.360]',-0.228,-0.195
'[12:00:00.364]',-0.211,-0.236
'[12:00:00.368]',-0.195,-0.378
'[12:00:00.372]',-0.181,-0.479
'[12:00:00.376]',-0.168,-0.089
'[12:00:00.380]',-0.163,0.725
