'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[14:51:00.000]',-0.085,-0.076
'[14:51:00.004]',-0.090,-0.100
'[14:51:00.008]',-0.096,-0.107
'[14:51:00.012]',-0.105,-0.098
'[14:51:00.016]',-0.117,-0.079
'[14:51:00.020]',-0.140,-0.039
'[14:51:00.024]',-0.172,0.013
'[14:51:00.028]',-0.194,0.072
'[14:51:00.032]',-0.204,0.136
'[14:51:00.036]',-0.195,0.188
'[14:51:00.040]',-0.169,0.221
'[14:51:00.044]',-0.130,0.249
'[14:51:00.048]',-0.076,0.274
'[14:51:00.052]',-0.019,0.274
'[14:51:00.056]',0.045,0.242
'[14:51:00.060]',0.100,0.239
'[14:51:00.064]',0.135,0.284
'[14:51:00.068]',0.168,0.385
'[14:51:00.072]',0.205,0.514
'[14:51:00.076]',0.216,0.641
'[14:51:00.080]',0.199,0.736
'[14:51:00.084]',0.179,0.779
'[14:51:00.088]',0.212,0.787
'[14:51:00.092]',0.312,0.745
'[14:51:00.096]',0.438,0.670
'[14:51:00.100]',0.579,0.540
'[14:51:00.104]',0.680,0.419
'[14:51:00.108]',0.738,0.326
'[14:51:00.112]',0.740,0.263
'[14:51:00.116]',0.715,0.225
'[14:51:00.120]',0.630,0.188
'[14:51:00.124]',0.512,0.151
'[14:51:00.128]',0.381,0.116
'[14:51:00.132]',0.286,0.092
'[14:51:00.136]',0.220,0.081
'[14:51:00.140]',0.177,0.071
'[14:51:00.144]',0.147,0.061
'[14:51:00.148]',0.107,0.051
'[14:51:00.152]',0.070,0.044
'[14:51:00.156]',0.046,0.034
'[14:51:00.160]',0.036,0.020
'[14:51:00.164]',0.030,0.003
'[14:51:00.168]',0.016,-0.015
'[14:51:00.172]',0.010,-0.031
'[14:51:00.176]',0.005,-0.045
'[14:51:00.180]',-0.001,-0.070
'[14:51:00.184]',-0.010,-0.101
'[14:51:00.188]',-0.028,-0.138
'[14:51:00.192]',-0.039,-0.158
'[14:51:00.196]',-0.060,-0.169
'[14:51:00.200]',-0.076,-0.172
'[14:51:00.204]',-0.101,-0.179
'[14:51:00.208]',-0.134,-0.189
'[14:51:00.212]',-0.163,-0.203
'[14:51:00.216]',-0.186,-0.220
'[14:51:00.220]',-0.193,-0.223
'[14:51:00.224]',-0.203,-0.225
'[14:51:00.228]',-0.210,-0.231
'[14:51:00.232]',-0.219,-0.250
'[14:51:00.236]',-0.236,-0.261
'[14:51:00.240]',-0.245,-0.269
'[14:51:00.244]',-0.254,-0.273
'[14:51:00.248]',-0.253,-0.270
'[14:51:00.252]',-0.264,-0.270
'[14:51:00.256]',-0.279,-0.260
'[14:51:00.260]',-0.297,-0.254
'[14:51:00.264]',-0.305,-0.239
'[14:51:00.268]',-0.304,-0.230
'[14:51:00.272]',-0.305,-0.219
'[14:51:00.276]',-0.296,-0.210
'[14:51:00.280]',-0.291,-0.203
'[14:51:00.284]',-0.278,-0.198
'[14:51:00.288]',-0.271,-0.205
'[14:51:00.292]',-0.259,-0.207
'[14:51:00.296]',-0.249,-0.209
'[14:51:00.300]',-0.239,-0.190
'[14:51:00.304]',-0.228,-0.172
'[14:51:00.308]',-0.228,-0.152
'[14:51:00.312]',-0.229,-0.135
'[14:51:00.316]',-0.237,-0.129
'[14:51:00.320]',-0.233,-0.125
'[14:51:00.324]',-0.221,-0.129
'[14:51:00.328]',-0.199,-0.121
'[14:51:00.332]',-0.181,-0.109
'[14:51:00.336]',-0.170,-0.089
'[14:51:00.340]',-0.160,-0.076
'[14:51:00.344]',-0.161,-0.075
'[14:51:00.348]',-0.164,-0.072
'[14:51:00.352]',-0.161,-0.068
'[14:51:00.356]',-0.146,-0.061
'[14:51:00.360]',-0.128,-0.061
'[14:51:00.364]',-0.115,-0.068
'[14:51:00.368]',-0.110,-0.076
'[14:51:00.372]',-0.107,-0.085
'[14:51:00.376]',-0.100,-0.089
'[14:51:00.380]',-0.091,-0.094
'[14:51:00.384]',-0.086,-0.096
'[14:51:00.388]',-0.091,-0.094
'[14:51:00.392]',-0.100,-0.085
'[14:51:00.396]',-0.107,-0.075
'[14:51:00.400]',-0.111,-0.069
'[14:51:00.404]',-0.117,-0.062
'[14:51:00.408]',-0.119,-0.064
'[14:51:00.412]',-0.115,-0.075
'[14:51:00.416]',-0.109,-0.092
'[14:51:00.420]',-0.096,-0.109
'[14:51:00.424]',-0.086,-0.117
'[14:51:00.428]',-0.079,-0.114
'[14:51:00.432]',-0.081,-0.106
'[14:51:00.436]',-0.095,-0.101
'[14:51:00.440]',-0.115,-0.100
'[14:51:00.444]',-0.135,-0.099
'[14:51:00.448]',-0.141,-0.095
'[14:51:00.452]',-0.144,-0.091
'[14:51:00.456]',-0.138,-0.090
'[14:51:00.460]',-0.131,-0.096
'[14:51:00.464]',-0.130,-0.104
'[14:51:00.468]',-0.131,-0.113
'[14:51:00.472]',-0.128,-0.111
'[14:51:00.476]',-0.121,-0.107
'[14:51:00.480]',-0.125,-0.105
'[14:51:00.484]',-0.133,-0.109
'[14:51:00.488]',-0.145,-0.117
'[14:51:00.492]',-0.150,-0.119
'[14:51:00.496]',-0.155,-0.116
'[14:51:00.500]',-0.152,-0.107
'[14:51:00.504]',-0.147,-0.100
'[14:51:00.508]',-0.147,-0.095
'[14:51:00.512]',-0.151,-0.092
'[14:51:00.516]',-0.159,-0.094
'[14:51:00.520]',-0.149,-0.092
'[14:51:00.524]',-0.145,-0.091
'[14:51:00.528]',-0.140,-0.089
'[14:51:00.532]',-0.138,-0.085
'[14:51:00.536]',-0.138,-0.080
'[14:51:00.540]',-0.134,-0.083
'[14:51:00.544]',-0.134,-0.076
'[14:51:00.548]',-0.129,-0.065
'[14:51:00.552]',-0.129,-0.051
'[14:51:00.556]',-0.122,-0.041
'[14:51:00.560]',-0.121,-0.041
'[14:51:00.564]',-0.120,-0.049
'[14:51:00.568]',-0.120,-0.070
'[14:51:00.572]',-0.111,-0.090
'[14:51:00.576]',-0.095,-0.105
'[14:51:00.580]',-0.084,-0.111
'[14:51:00.584]',-0.081,-0.109
'[14:51:00.588]',-0.095,-0.100
'[14:51:00.592]',-0.115,-0.089
'[14:51:00.596]',-0.138,-0.079
'[14:51:00.600]',-0.155,-0.069
'[14:51:00.604]',-0.161,-0.059
'[14:51:00.608]',-0.158,-0.049
'[14:51:00.612]',-0.147,-0.039
'[14:51:00.616]',-0.138,-0.031
'[14:51:00.620]',-0.124,-0.022
'[14:51:00.624]',-0.114,-0.016
'[14:51:00.628]',-0.102,-0.009
'[14:51:00.632]',-0.092,-0.004
'[14:51:00.636]',-0.085,0.004
'[14:51:00.640]',-0.079,0.006
'[14:51:00.644]',-0.071,0.007
'[14:51:00.648]',-0.065,0.004
'[14:51:00.652]',-0.058,-0.003
'[14:51:00.656]',-0.050,-0.007
'[14:51:00.660]',-0.045,-0.013
'[14:51:00.664]',-0.044,-0.015
'[14:51:00.668]',-0.044,-0.015
'[14:51:00.672]',-0.049,-0.013
'[14:51:00.676]',-0.059,-0.003
'[14:51:00.680]',-0.066,0.005
'[14:51:00.684]',-0.075,0.010
'[14:51:00.688]',-0.081,0.014
'[14:51:00.692]',-0.085,0.018
'[14:51:00.696]',-0.083,0.018
'[14:51:00.700]',-0.068,0.015
'[14:51:00.704]',-0.064,0.007
'[14:51:00.708]',-0.059,0.001
'[14:51:00.712]',-0.054,0.000
'[14:51:00.716]',-0.049,0.005
'[14:51:00.720]',-0.048,0.011
'[14:51:00.724]',-0.051,0.020
'[14:51:00.728]',-0.056,0.025
'[14:51:00.732]',-0.072,0.025
'[14:51:00.736]',-0.076,0.022
'[14:51:00.740]',-0.075,0.021
'[14:51:00.744]',-0.066,0.030
'[14:51:00.748]',-0.058,0.033
'[14:51:00.752]',-0.052,0.030
'[14:51:00.756]',-0.052,0.025
'[14:51:00.760]',-0.054,0.018
'[14:51:00.764]',-0.054,0.007
'[14:51:00.768]',-0.049,-0.006
'[14:51:00.772]',-0.040,-0.018
'[14:51:00.776]',-0.036,-0.034
'[14:51:00.780]',-0.040,-0.041
'[14:51:00.784]',-0.045,-0.040
'[14:51:00.788]',-0.051,-0.035
'[14:51:00.792]',-0.060,-0.020
'[14:51:00.796]',-0.081,-0.014
'[14:51:00.800]',-0.096,-0.011
'[14:51:00.804]',-0.104,-0.005
'[14:51:00.808]',-0.106,0.007
'[14:51:00.812]',-0.099,0.004
'[14:51:00.816]',-0.090,-0.013
'[14:51:00.820]',-0.079,-0.029
'[14:51:00.824]',-0.079,-0.050
'[14:51:00.828]',-0.070,-0.059
'[14:51:00.832]',-0.059,-0.054
'[14:51:00.836]',-0.059,-0.033
'[14:51:00.840]',-0.077,-0.005
'[14:51:00.844]',-0.100,0.020
'[14:51:00.848]',-0.125,0.040
'[14:51:00.852]',-0.140,0.055
'[14:51:00.856]',-0.136,0.061
'[14:51:00.860]',-0.119,0.059
'[14:51:00.864]',-0.092,0.045
'[14:51:00.868]',-0.065,0.030
'[14:51:00.872]',-0.045,0.016
'[14:51:00.876]',-0.029,-0.001
'[14:51:00.880]',-0.020,-0.015
'[14:51:00.884]',-0.022,-0.021
'[14:51:00.888]',-0.039,-0.013
'[14:51:00.892]',-0.055,0.003
'[14:51:00.896]',-0.071,0.020
'[14:51:00.900]',-0.090,0.040
'[14:51:00.904]',-0.107,0.079
'[14:51:00.908]',-0.116,0.141
'[14:51:00.912]',-0.110,0.203
'[14:51:00.916]',-0.098,0.235
'[14:51:00.920]',-0.081,0.249
'[14:51:00.924]',-0.062,0.260
'[14:51:00.928]',-0.025,0.261
'[14:51:00.932]',0.035,0.268
'[14:51:00.936]',0.104,0.300
'[14:51:00.940]',0.134,0.381
'[14:51:00.944]',0.149,0.515
'[14:51:00.948]',0.154,0.665
'[14:51:00.952]',0.161,0.794
'[14:51:00.956]',0.160,0.863
'[14:51:00.960]',0.190,0.887
'[14:51:00.964]',0.275,0.851
'[14:51:00.968]',0.400,0.774
'[14:51:00.972]',0.560,0.660
'[14:51:00.976]',0.679,0.539
'[14:51:00.980]',0.760,0.422
'[14:51:00.984]',0.779,0.311
'[14:51:00.988]',0.752,0.209
'[14:51:00.992]',0.675,0.114
'[14:51:00.996]',0.571,0.037
'[14:51:01.000]',0.456,-0.011
'[14:51:01.004]',0.335,-0.031
'[14:51:01.008]',0.221,-0.037
'[14:51:01.012]',0.115,-0.039
'[14:51:01.016]',0.019,-0.044
'[14:51:01.020]',-0.062,-0.052
'[14:51:01.024]',-0.114,-0.064
'[14:51:01.028]',-0.135,-0.075
'[14:51:01.032]',-0.149,-0.087
'[14:51:01.036]',-0.158,-0.101
'[14:51:01.040]',-0.164,-0.116
'[14:51:01.044]',-0.175,-0.128
'[14:51:01.048]',-0.185,-0.140
'[14:51:01.052]',-0.196,-0.155
'[14:51:01.056]',-0.205,-0.161
'[14:51:01.060]',-0.221,-0.168
'[14:51:01.064]',-0.237,-0.169
'[14:51:01.068]',-0.250,-0.171
'[14:51:01.072]',-0.264,-0.170
'[14:51:01.076]',-0.271,-0.170
'[14:51:01.080]',-0.289,-0.170
'[14:51:01.084]',-0.299,-0.168
'[14:51:01.088]',-0.309,-0.170
'[14:51:01.092]',-0.297,-0.164
'[14:51:01.096]',-0.290,-0.161
'[14:51:01.100]',-0.292,-0.159
'[14:51:01.104]',-0.297,-0.172
'[14:51:01.108]',-0.309,-0.190
'[14:51:01.112]',-0.307,-0.206
'[14:51:01.116]',-0.310,-0.216
'[14:51:01.120]',-0.300,-0.207
'[14:51:01.124]',-0.300,-0.210
'[14:51:01.128]',-0.307,-0.211
'[14:51:01.132]',-0.325,-0.229
'[14:51:01.136]',-0.345,-0.240
'[14:51:01.140]',-0.347,-0.250
'[14:51:01.144]',-0.344,-0.250
'[14:51:01.148]',-0.331,-0.236
'[14:51:01.152]',-0.339,-0.229
'[14:51:01.156]',-0.350,-0.217
'[14:51:01.160]',-0.365,-0.221
'[14:51:01.164]',-0.374,-0.220
'[14:51:01.168]',-0.372,-0.224
'[14:51:01.172]',-0.367,-0.221
'[14:51:01.176]',-0.350,-0.215
'[14:51:01.180]',-0.345,-0.212
'[14:51:01.184]',-0.340,-0.200
'[14:51:01.188]',-0.346,-0.186
'[14:51:01.192]',-0.343,-0.165
'[14:51:01.196]',-0.343,-0.150
'[14:51:01.200]',-0.343,-0.136
'[14:51:01.204]',-0.340,-0.131
'[14:51:01.208]',-0.340,-0.125
'[14:51:01.212]',-0.325,-0.119
'[14:51:01.216]',-0.315,-0.111
'[14:51:01.220]',-0.297,-0.096
'[14:51:01.224]',-0.290,-0.081
'[14:51:01.228]',-0.287,-0.058
'[14:51:01.232]',-0.287,-0.031
'[14:51:01.236]',-0.285,-0.007
'[14:51:01.240]',-0.282,0.000
'[14:51:01.244]',-0.275,-0.004
'[14:51:01.248]',-0.258,-0.010
'[14:51:01.252]',-0.240,-0.011
'[14:51:01.256]',-0.210,-0.014
'[14:51:01.260]',-0.181,-0.015
'[14:51:01.264]',-0.169,-0.009
'[14:51:01.268]',-0.175,0.000
'[14:51:01.272]',-0.185,0.013
'[14:51:01.276]',-0.189,0.016
'[14:51:01.280]',-0.186,0.005
'[14:51:01.284]',-0.181,-0.018
'[14:51:01.288]',-0.175,-0.039
'[14:51:01.292]',-0.160,-0.045
'[14:51:01.296]',-0.142,-0.048
'[14:51:01.300]',-0.133,-0.050
'[14:51:01.304]',-0.136,-0.054
'[14:51:01.308]',-0.154,-0.060
'[14:51:01.312]',-0.170,-0.061
'[14:51:01.316]',-0.174,-0.062
'[14:51:01.320]',-0.170,-0.065
'[14:51:01.324]',-0.166,-0.072
'[14:51:01.328]',-0.161,-0.081
'[14:51:01.332]',-0.166,-0.096
'[14:51:01.336]',-0.166,-0.113
'[14:51:01.340]',-0.160,-0.120
'[14:51:01.344]',-0.156,-0.116
'[14:51:01.348]',-0.154,-0.101
'[14:51:01.352]',-0.160,-0.087
