'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[11:45:00.000]',-0.497,-0.345
'[11:45:00.004]',-0.547,-0.250
'[11:45:00.008]',-0.555,-0.145
'[11:45:00.012]',-0.522,-0.066
'[11:45:00.016]',-0.461,-0.016
'[11:45:00.020]',-0.386,0.007
'[11:45:00.024]',-0.325,0.019
'[11:45:00.028]',-0.260,0.034
'[11:45:00.032]',-0.196,0.058
'[11:45:00.036]',-0.135,0.080
'[11:45:00.040]',-0.092,0.100
'[11:45:00.044]',-0.069,0.120
'[11:45:00.048]',-0.058,0.131
'[11:45:00.052]',-0.046,0.136
'[11:45:00.056]',-0.037,0.140
'[11:45:00.060]',-0.020,0.149
'[11:45:00.064]',-0.004,0.160
'[11:45:00.068]',0.010,0.171
'[11:45:00.072]',0.020,0.174
'[11:45:00.076]',0.022,0.177
'[11:45:00.080]',0.025,0.180
'[11:45:00.084]',0.020,0.184
'[11:45:00.088]',0.026,0.182
'[11:45:00.092]',0.031,0.180
'[11:45:00.096]',0.033,0.182
'[11:45:00.100]',0.033,0.188
'[11:45:00.104]',0.033,0.196
'[11:45:00.108]',0.039,0.198
'[11:45:00.112]',0.034,0.195
'[11:45:00.116]',0.034,0.193
'[11:45:00.120]',0.033,0.188
'[11:45:00.124]',0.035,0.190
'[11:45:00.128]',0.039,0.185
'[11:45:00.132]',0.043,0.185
'[11:45:00.136]',0.041,0.184
'[11:45:00.140]',0.041,0.185
'[11:45:00.144]',0.044,0.189
'[11:45:00.148]',0.043,0.188
'[11:45:00.152]',0.044,0.189
'[11:45:00.156]',0.044,0.182
'[11:45:00.160]',0.045,0.181
'[11:45:00.164]',0.046,0.169
'[11:45:00.168]',0.051,0.168
'[11:45:00.172]',0.055,0.161
'[11:45:00.176]',0.051,0.163
'[11:45:00.180]',0.052,0.156
'[11:45:00.184]',0.048,0.147
'[11:45:00.188]',0.041,0.139
'[11:45:00.192]',0.035,0.129
'[11:45:00.196]',0.036,0.125
'[11:45:00.200]',0.041,0.121
'[11:45:00.204]',0.036,0.121
'[11:45:00.208]',0.033,0.116
'[11:45:00.212]',0.025,0.111
'[11:45:00.216]',0.019,0.106
'[11:45:00.220]',0.015,0.091
'[11:45:00.224]',0.016,0.084
'[11:45:00.228]',0.018,0.079
'[11:45:00.232]',0.019,0.080
'[11:45:00.236]',0.016,0.080
'[11:45:00.240]',0.011,0.081
'[11:45:00.244]',0.005,0.080
'[11:45:00.248]',0.000,0.075
'[11:45:00.252]',-0.005,0.072
'[11:45:00.256]',-0.006,0.066
'[11:45:00.260]',-0.003,0.064
'[11:45:00.264]',-0.003,0.060
'[11:45:00.268]',-0.005,0.060
'[11:45:00.272]',-0.006,0.064
'[11:45:00.276]',-0.011,0.068
'[11:45:00.280]',-0.013,0.070
'[11:45:00.284]',-0.016,0.075
