'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[15:09:00.000]',-0.134,0.207
'[15:09:00.004]',-0.141,0.206
'[15:09:00.008]',-0.144,0.206
'[15:09:00.012]',-0.138,0.204
'[15:09:00.016]',-0.144,0.201
'[15:09:00.020]',-0.151,0.199
'[15:09:00.024]',-0.158,0.199
'[15:09:00.028]',-0.165,0.204
'[15:09:00.032]',-0.170,0.199
'[15:09:00.036]',-0.175,0.195
'[15:09:00.040]',-0.176,0.190
'[15:09:00.044]',-0.180,0.190
'[15:09:00.048]',-0.186,0.190
'[15:09:00.052]',-0.190,0.189
'[15:09:00.056]',-0.194,0.193
'[15:09:00.060]',-0.190,0.194
'[15:09:00.064]',-0.194,0.199
'[15:09:00.068]',-0.194,0.195
'[15:09:00.072]',-0.186,0.196
'[15:09:00.076]',-0.179,0.200
'[15:09:00.080]',-0.180,0.201
'[15:09:00.084]',-0.185,0.201
'[15:09:00.088]',-0.181,0.201
'[15:09:00.092]',-0.177,0.210
'[15:09:00.096]',-0.176,0.209
'[15:09:00.100]',-0.179,0.212
'[15:09:00.104]',-0.174,0.215
'[15:09:00.108]',-0.176,0.224
'[15:09:00.112]',-0.179,0.229
'[15:09:00.116]',-0.180,0.230
'[15:09:00.120]',-0.180,0.235
'[15:09:00.124]',-0.171,0.235
'[15:09:00.128]',-0.169,0.240
'[15:09:00.132]',-0.168,0.237
'[15:09:00.136]',-0.171,0.247
'[15:09:00.140]',-0.172,0.253
'[15:09:00.144]',-0.176,0.260
'[15:09:00.148]',-0.177,0.264
'[15:09:00.152]',-0.175,0.263
'[15:09:00.156]',-0.172,0.265
'[15:09:00.160]',-0.174,0.263
'[15:09:00.164]',-0.181,0.265
'[15:09:00.168]',-0.177,0.263
'[15:09:00.172]',-0.175,0.271
'[15:09:00.176]',-0.176,0.268
'[15:09:00.180]',-0.180,0.270
'[15:09:00.184]',-0.181,0.273
'[15:09:00.188]',-0.176,0.271
'[15:09:00.192]',-0.177,0.271
'[15:09:00.196]',-0.180,0.264
'[15:09:00.200]',-0.184,0.271
'[15:09:00.204]',-0.182,0.269
'[15:09:00.208]',-0.184,0.271
'[15:09:00.212]',-0.186,0.268
'[15:09:00.216]',-0.182,0.270
'[15:09:00.220]',-0.180,0.268
'[15:09:00.224]',-0.176,0.260
'[15:09:00.228]',-0.180,0.253
'[15:09:00.232]',-0.176,0.242
'[15:09:00.236]',-0.174,0.245
'[15:09:00.240]',-0.169,0.239
'[15:09:00.244]',-0.165,0.230
'[15:09:00.248]',-0.160,0.219
'[15:09:00.252]',-0.156,0.209
'[15:09:00.256]',-0.158,0.199
'[15:09:00.260]',-0.161,0.191
'[15:09:00.264]',-0.165,0.195
'[15:09:00.268]',-0.161,0.190
'[15:09:00.272]',-0.161,0.182
'[15:09:00.276]',-0.165,0.175
'[15:09:00.280]',-0.168,0.175
'[15:09:00.284]',-0.176,0.175
'[15:09:00.288]',-0.185,0.175
'[15:09:00.292]',-0.189,0.175
'[15:09:00.296]',-0.188,0.180
'[15:09:00.300]',-0.191,0.189
'[15:09:00.304]',-0.195,0.191
'[15:09:00.308]',-0.200,0.199
'[15:09:00.312]',-0.198,0.210
'[15:09:00.316]',-0.204,0.223
'[15:09:00.320]',-0.211,0.229
'[15:09:00.324]',-0.215,0.230
'[15:09:00.328]',-0.219,0.229
'[15:09:00.332]',-0.220,0.210
'[15:09:00.336]',-0.221,0.184
'[15:09:00.340]',-0.211,0.150
'[15:09:00.344]',-0.206,0.116
'[15:09:00.348]',-0.198,0.080
'[15:09:00.352]',-0.186,0.052
'[15:09:00.356]',-0.165,0.041
'[15:09:00.360]',-0.130,0.043
'[15:09:00.364]',-0.098,0.070
'[15:09:00.368]',-0.076,0.109
'[15:09:00.372]',-0.054,0.169
'[15:09:00.376]',-0.018,0.233
'[15:09:00.380]',0.024,0.287
'[15:09:00.384]',0.072,0.331
'[15:09:00.388]',0.120,0.390
'[15:09:00.392]',0.158,0.499
'[15:09:00.396]',0.155,0.609
'[15:09:00.400]',0.135,0.724
'[15:09:00.404]',0.092,0.786
'[15:09:00.408]',0.031,0.834
'[15:09:00.412]',-0.029,0.844
'[15:09:00.416]',-0.090,0.850
'[15:09:00.420]',-0.172,0.855
'[15:09:00.424]',-0.266,0.814
'[15:09:00.428]',-0.362,0.760
'[15:09:00.432]',-0.419,0.677
'[15:09:00.436]',-0.448,0.631
'[15:09:00.440]',-0.432,0.585
'[15:09:00.444]',-0.400,0.549
'[15:09:00.448]',-0.378,0.495
'[15:09:00.452]',-0.360,0.425
'[15:09:00.456]',-0.354,0.361
'[15:09:00.460]',-0.339,0.297
'[15:09:00.464]',-0.325,0.250
'[15:09:00.468]',-0.295,0.204
'[15:09:00.472]',-0.266,0.174
'[15:09:00.476]',-0.236,0.149
'[15:09:00.480]',-0.216,0.130
'[15:09:00.484]',-0.207,0.121
'[15:09:00.488]',-0.203,0.115
'[15:09:00.492]',-0.200,0.110
'[15:09:00.496]',-0.199,0.096
'[15:09:00.500]',-0.199,0.090
'[15:09:00.504]',-0.196,0.081
'[15:09:00.508]',-0.196,0.075
'[15:09:00.512]',-0.199,0.065
'[15:09:00.516]',-0.191,0.061
'[15:09:00.520]',-0.188,0.060
'[15:09:00.524]',-0.189,0.052
'[15:09:00.528]',-0.194,0.044
'[15:09:00.532]',-0.189,0.036
'[15:09:00.536]',-0.185,0.035
'[15:09:00.540]',-0.184,0.031
'[15:09:00.544]',-0.185,0.022
'[15:09:00.548]',-0.186,0.018
'[15:09:00.552]',-0.185,0.014
'[15:09:00.556]',-0.186,0.007
'[15:09:00.560]',-0.186,0.000
'[15:09:00.564]',-0.185,-0.005
'[15:09:00.568]',-0.180,-0.009
'[15:09:00.572]',-0.177,-0.016
'[15:09:00.576]',-0.182,-0.022
'[15:09:00.580]',-0.179,-0.028
'[15:09:00.584]',-0.176,-0.031
'[15:09:00.588]',-0.177,-0.035
'[15:09:00.592]',-0.176,-0.039
'[15:09:00.596]',-0.169,-0.039
'[15:09:00.600]',-0.164,-0.045
'[15:09:00.604]',-0.164,-0.058
'[15:09:00.608]',-0.165,-0.066
'[15:09:00.612]',-0.159,-0.070
'[15:09:00.616]',-0.156,-0.075
'[15:09:00.620]',-0.158,-0.083
'[15:09:00.624]',-0.155,-0.086
'[15:09:00.628]',-0.150,-0.090
'[15:09:00.632]',-0.146,-0.095
'[15:09:00.636]',-0.145,-0.105
'[15:09:00.640]',-0.136,-0.109
'[15:09:00.644]',-0.129,-0.110
'[15:09:00.648]',-0.121,-0.113
'[15:09:00.652]',-0.117,-0.120
'[15:09:00.656]',-0.110,-0.133
'[15:09:00.660]',-0.100,-0.142
'[15:09:00.664]',-0.092,-0.155
'[15:09:00.668]',-0.091,-0.163
'[15:09:00.672]',-0.090,-0.170
'[15:09:00.676]',-0.080,-0.171
'[15:09:00.680]',-0.074,-0.174
'[15:09:00.684]',-0.069,-0.179
'[15:09:00.688]',-0.060,-0.186
'[15:09:00.692]',-0.048,-0.195
'[15:09:00.696]',-0.040,-0.193
'[15:09:00.700]',-0.035,-0.203
'[15:09:00.704]',-0.028,-0.206
'[15:09:00.708]',-0.021,-0.212
'[15:09:00.712]',-0.016,-0.214
'[15:09:00.716]',-0.016,-0.217
'[15:09:00.720]',-0.011,-0.220
'[15:09:00.724]',-0.004,-0.219
'[15:09:00.728]',0.003,-0.221
'[15:09:00.732]',0.006,-0.221
'[15:09:00.736]',0.010,-0.226
'[15:09:00.740]',0.021,-0.217
'[15:09:00.744]',0.030,-0.217
'[15:09:00.748]',0.033,-0.215
'[15:09:00.752]',0.037,-0.214
'[15:09:00.756]',0.048,-0.211
'[15:09:00.760]',0.056,-0.204
'[15:09:00.764]',0.060,-0.203
'[15:09:00.768]',0.065,-0.196
'[15:09:00.772]',0.070,-0.194
'[15:09:00.776]',0.074,-0.184
'[15:09:00.780]',0.070,-0.185
'[15:09:00.784]',0.071,-0.182
'[15:09:00.788]',0.074,-0.176
'[15:09:00.792]',0.079,-0.174
'[15:09:00.796]',0.075,-0.170
'[15:09:00.800]',0.074,-0.166
'[15:09:00.804]',0.071,-0.156
'[15:09:00.808]',0.066,-0.152
'[15:09:00.812]',0.060,-0.147
'[15:09:00.816]',0.049,-0.139
'[15:09:00.820]',0.040,-0.129
'[15:09:00.824]',0.029,-0.119
'[15:09:00.828]',0.021,-0.109
'[15:09:00.832]',0.013,-0.094
'[15:09:00.836]',0.003,-0.083
'[15:09:00.840]',-0.007,-0.071
'[15:09:00.844]',-0.013,-0.062
'[15:09:00.848]',-0.010,-0.049
'[15:09:00.852]',-0.018,-0.035
'[15:09:00.856]',-0.024,-0.029
'[15:09:00.860]',-0.031,-0.018
'[15:09:00.864]',-0.035,-0.003
'[15:09:00.868]',-0.045,0.007
'[15:09:00.872]',-0.058,0.015
'[15:09:00.876]',-0.065,0.022
'[15:09:00.880]',-0.065,0.030
'[15:09:00.884]',-0.066,0.036
'[15:09:00.888]',-0.074,0.040
'[15:09:00.892]',-0.083,0.048
'[15:09:00.896]',-0.086,0.050
'[15:09:00.900]',-0.090,0.052
'[15:09:00.904]',-0.100,0.054
'[15:09:00.908]',-0.104,0.056
'[15:09:00.912]',-0.106,0.060
'[15:09:00.916]',-0.111,0.062
'[15:09:00.920]',-0.115,0.062
'[15:09:00.924]',-0.115,0.062
'[15:09:00.928]',-0.111,0.068
'[15:09:00.932]',-0.115,0.066
'[15:09:00.936]',-0.119,0.064
'[15:09:00.940]',-0.117,0.061
'[15:09:00.944]',-0.121,0.064
'[15:09:00.948]',-0.120,0.068
'[15:09:00.952]',-0.120,0.066
'[15:09:00.956]',-0.119,0.068
'[15:09:00.960]',-0.114,0.068
'[15:09:00.964]',-0.116,0.069
'[15:09:00.968]',-0.116,0.068
'[15:09:00.972]',-0.121,0.070
'[15:09:00.976]',-0.121,0.066
'[15:09:00.980]',-0.124,0.061
'[15:09:00.984]',-0.126,0.062
'[15:09:00.988]',-0.121,0.062
'[15:09:00.992]',-0.117,0.068
'[15:09:00.996]',-0.116,0.065
'[15:09:01.000]',-0.116,0.064
'[15:09:01.004]',-0.111,0.064
'[15:09:01.008]',-0.111,0.068
'[15:09:01.012]',-0.114,0.066
'[15:09:01.016]',-0.116,0.065
'[15:09:01.020]',-0.115,0.069
'[15:09:01.024]',-0.113,0.066
'[15:09:01.028]',-0.115,0.066
'[15:09:01.032]',-0.114,0.061
