'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[05:04:00.000]',0.052,0.090
'[05:04:00.004]',0.051,0.096
'[05:04:00.008]',0.049,0.102
'[05:04:00.012]',0.044,0.101
'[05:04:00.016]',0.036,0.102
'[05:04:00.020]',0.029,0.102
'[05:04:00.024]',0.015,0.100
'[05:04:00.028]',0.000,0.098
'[05:04:00.032]',-0.015,0.098
'[05:04:00.036]',-0.028,0.098
'[05:04:00.040]',-0.039,0.095
'[05:04:00.044]',-0.050,0.098
'[05:04:00.048]',-0.058,0.094
'[05:04:00.052]',-0.062,0.091
'[05:04:00.056]',-0.062,0.089
'[05:04:00.060]',-0.061,0.084
'[05:04:00.064]',-0.059,0.079
'[05:04:00.068]',-0.058,0.075
'[05:04:00.072]',-0.060,0.074
'[05:04:00.076]',-0.060,0.070
'[05:04:00.080]',-0.059,0.068
'[05:04:00.084]',-0.058,0.061
'[05:04:00.088]',-0.052,0.051
'[05:04:00.092]',-0.046,0.039
'[05:04:00.096]',-0.046,0.025
'[05:04:00.100]',-0.043,0.007
'[05:04:00.104]',-0.039,-0.016
'[05:04:00.108]',-0.033,-0.052
'[05:04:00.112]',-0.028,-0.100
'[05:04:00.116]',-0.026,-0.158
'[05:04:00.120]',-0.025,-0.220
'[05:04:00.124]',-0.022,-0.287
'[05:04:00.128]',-0.013,-0.355
'[05:04:00.132]',-0.003,-0.415
'[05:04:00.136]',0.019,-0.470
'[05:04:00.140]',0.039,-0.506
'[05:04:00.144]',0.076,-0.526
'[05:04:00.148]',0.131,-0.500
'[05:04:00.152]',0.207,-0.441
'[05:04:00.156]',0.300,-0.354
'[05:04:00.160]',0.371,-0.261
'[05:04:00.164]',0.444,-0.182
'[05:04:00.168]',0.480,-0.128
'[05:04:00.172]',0.491,-0.091
'[05:04:00.176]',0.464,-0.064
'[05:04:00.180]',0.407,-0.041
'[05:04:00.184]',0.349,-0.019
'[05:04:00.188]',0.287,-0.001
'[05:04:00.192]',0.258,0.010
'[05:04:00.196]',0.237,0.024
'[05:04:00.200]',0.231,0.036
'[05:04:00.204]',0.217,0.046
'[05:04:00.208]',0.198,0.061
'[05:04:00.212]',0.176,0.072
'[05:04:00.216]',0.144,0.080
'[05:04:00.220]',0.116,0.085
'[05:04:00.224]',0.084,0.089
'[05:04:00.228]',0.058,0.095
'[05:04:00.232]',0.031,0.094
'[05:04:00.236]',0.011,0.099
'[05:04:00.240]',-0.001,0.100
'[05:04:00.244]',-0.010,0.104
'[05:04:00.248]',-0.015,0.104
'[05:04:00.252]',-0.019,0.105
