'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[09:50:00.000]',-0.022,0.199
'[09:50:00.004]',-0.030,0.175
'[09:50:00.008]',0.022,0.139
'[09:50:00.012]',0.075,0.142
'[09:50:00.016]',0.090,0.170
'[09:50:00.020]',0.077,0.171
'[09:50:00.024]',0.074,0.163
'[09:50:00.028]',0.075,0.172
'[09:50:00.032]',0.054,0.194
'[09:50:00.036]',0.019,0.188
'[09:50:00.040]',0.014,0.175
'[09:50:00.044]',0.037,0.171
'[09:50:00.048]',0.040,0.155
'[09:50:00.052]',0.030,0.110
'[09:50:00.056]',0.040,0.070
'[09:50:00.060]',0.061,0.081
'[09:50:00.064]',0.059,0.115
'[09:50:00.068]',0.048,0.136
'[09:50:00.072]',0.048,0.140
'[09:50:00.076]',0.031,0.151
'[09:50:00.080]',-0.007,0.170
'[09:50:00.084]',-0.050,0.176
'[09:50:00.088]',-0.052,0.159
'[09:50:00.092]',-0.025,0.126
'[09:50:00.096]',-0.001,0.121
'[09:50:00.100]',0.009,0.131
'[09:50:00.104]',0.020,0.146
'[09:50:00.108]',0.037,0.146
'[09:50:00.112]',0.046,0.138
'[09:50:00.116]',0.034,0.117
'[09:50:00.120]',0.003,0.085
'[09:50:00.124]',-0.006,0.083
'[09:50:00.128]',0.005,0.119
'[09:50:00.132]',0.020,0.161
'[09:50:00.136]',0.022,0.152
'[09:50:00.140]',0.014,0.105
'[09:50:00.144]',-0.009,0.044
'[09:50:00.148]',-0.040,-0.066
'[09:50:00.152]',-0.051,-0.234
'[09:50:00.156]',-0.021,-0.410
'[09:50:00.160]',0.018,-0.545
'[09:50:00.164]',0.014,-0.652
'[09:50:00.168]',-0.036,-0.736
'[09:50:00.172]',-0.105,-0.731
'[09:50:00.176]',-0.224,-0.726
'[09:50:00.180]',-0.411,-0.703
'[09:50:00.184]',-0.610,-0.667
'[09:50:00.188]',-0.772,-0.595
'[09:50:00.192]',-0.915,-0.510
'[09:50:00.196]',-1.026,-0.427
'[09:50:00.200]',-1.042,-0.314
'[09:50:00.204]',-1.045,-0.193
'[09:50:00.208]',-1.030,-0.072
'[09:50:00.212]',-0.988,0.011
'[09:50:00.216]',-0.925,0.075
'[09:50:00.220]',-0.839,0.142
'[09:50:00.224]',-0.754,0.199
'[09:50:00.228]',-0.624,0.233
'[09:50:00.232]',-0.458,0.250
'[09:50:00.236]',-0.335,0.258
'[09:50:00.240]',-0.229,0.259
'[09:50:00.244]',-0.139,0.265
'[09:50:00.248]',-0.051,0.290
'[09:50:00.252]',0.022,0.329
'[09:50:00.256]',0.075,0.379
'[09:50:00.260]',0.110,0.415
'[09:50:00.264]',0.130,0.394
'[09:50:00.268]',0.139,0.340
'[09:50:00.272]',0.150,0.309
'[09:50:00.276]',0.177,0.346
'[09:50:00.280]',0.228,0.415
'[09:50:00.284]',0.275,0.471
'[09:50:00.288]',0.323,0.505
'[09:50:00.292]',0.311,0.517
'[09:50:00.296]',0.261,0.515
'[09:50:00.300]',0.229,0.472
'[09:50:00.304]',0.263,0.419
'[09:50:00.308]',0.334,0.389
'[09:50:00.312]',0.388,0.403
'[09:50:00.316]',0.435,0.432
'[09:50:00.320]',0.450,0.455
'[09:50:00.324]',0.454,0.485
'[09:50:00.328]',0.420,0.494
'[09:50:00.332]',0.365,0.501
'[09:50:00.336]',0.330,0.481
'[09:50:00.340]',0.339,0.438
'[09:50:00.344]',0.367,0.365
'[09:50:00.348]',0.388,0.339
'[09:50:00.352]',0.419,0.424
'[09:50:00.356]',0.430,0.574
