'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[12:00:00.000]',-0.090,0.050
'[12:00:00.004]',-0.075,0.060
'[12:00:00.008]',-0.130,0.075
'[12:00:00.012]',-0.170,0.075
'[12:00:00.016]',-0.165,0.070
'[12:00:00.020]',-0.170,0.055
'[12:00:00.024]',-0.165,0.030
'[12:00:00.028]',-0.160,0.000
'[12:00:00.032]',-0.115,-0.025
'[12:00:00.036]',-0.075,-0.040
'[12:00:00.040]',-0.085,-0.045
'[12:00:00.044]',-0.130,-0.050
'[12:00:00.048]',-0.200,-0.050
'[12:00:00.052]',-0.240,-0.040
'[12:00:00.056]',-0.285,-0.025
'[12:00:00.060]',-0.320,-0.025
'[12:00:00.064]',-0.335,-0.050
'[12:00:00.068]',-0.350,-0.080
'[12:00:00.072]',-0.330,-0.090
'[12:00:00.076]',-0.300,-0.095
'[12:00:00.080]',-0.245,-0.085
'[12:00:00.084]',-0.250,-0.085
'[12:00:00.088]',-0.320,-0.085
'[12:00:00.092]',-0.400,-0.090
'[12:00:00.096]',-0.440,-0.075
'[12:00:00.100]',-0.430,-0.065
'[12:00:00.104]',-0.400,-0.075
'[12:00:00.108]',-0.360,-0.105
'[12:00:00.112]',-0.360,-0.160
'[12:00:00.116]',-0.365,-0.180
'[12:00:00.120]',-0.345,-0.185
'[12:00:00.124]',-0.315,-0.185
'[12:00:00.128]',-0.315,-0.185
'[12:00:00.132]',-0.360,-0.200
'[12:00:00.136]',-0.430,-0.200
'[12:00:00.140]',-0.520,-0.215
'[12:00:00.144]',-0.545,-0.210
'[12:00:00.148]',-0.515,-0.215
'[12:00:00.152]',-0.505,-0.235
'[12:00:00.156]',-0.535,-0.265
'[12:00:00.160]',-0.575,-0.300
'[12:00:00.164]',-0.580,-0.320
'[12:00:00.168]',-0.570,-0.325
'[12:00:00.172]',-0.545,-0.315
'[12:00:00.176]',-0.560,-0.330
'[12:00:00.180]',-0.625,-0.325
'[12:00:00.184]',-0.695,-0.300
'[12:00:00.188]',-0.740,-0.255
'[12:00:00.192]',-0.730,-0.245
'[12:00:00.196]',-0.725,-0.275
'[12:00:00.200]',-0.730,-0.300
'[12:00:00.204]',-0.745,-0.315
'[12:00:00.208]',-0.690,-0.315
'[12:00:00.212]',-0.590,-0.320
'[12:00:00.216]',-0.540,-0.320
'[12:00:00.220]',-0.605,-0.320
'[12:00:00.224]',-0.705,-0.320
'[12:00:00.228]',-0.745,-0.300
'[12:00:00.232]',-0.750,-0.250
'[12:00:00.236]',-0.740,-0.190
'[12:00:00.240]',-0.745,-0.165
'[12:00:00.244]',-0.770,-0.155
'[12:00:00.248]',-0.785,-0.145
'[12:00:00.252]',-0.755,-0.140
'[12:00:00.256]',-0.675,-0.140
'[12:00:00.260]',-0.555,-0.140
'[12:00:00.264]',-0.450,-0.130
'[12:00:00.268]',-0.410,-0.105
'[12:00:00.272]',-0.395,-0.065
'[12:00:00.276]',-0.365,-0.035
'[12:00:00.280]',-0.355,-0.020
'[12:00:00.284]',-0.395,-0.005
'[12:00:00.288]',-0.405,-0.005
'[12:00:00.292]',-0.380,0.010
'[12:00:00.296]',-0.285,0.040
'[12:00:00.300]',-0.170,0.040
'[12:00:00.304]',-0.105,0.040
'[12:00:00.308]',-0.095,0.060
'[12:00:00.312]',-0.095,0.085
'[12:00:00.316]',-0.080,0.105
'[12:00:00.320]',-0.080,0.100
'[12:00:00.324]',-0.080,0.100
'[12:00:00.328]',-0.065,0.095
'[12:00:00.332]',-0.020,0.105
'[12:00:00.336]',0.040,0.110
'[12:00:00.340]',0.085,0.120
'[12:00:00.344]',0.110,0.140
'[12:00:00.348]',0.060,0.150
'[12:00:00.352]',0.030,0.155
'[12:00:00.356]',0.030,0.160
'[12:00:00.360]',0.045,0.170
'[12:00:00.364]',0.070,0.170
'[12:00:00.368]',0.115,0.170
'[12:00:00.372]',0.170,0.170
'[12:00:00.376]',0.165,0.185
'[12:00:00.380]',0.165,0.205
'[12:00:00.384]',0.155,0.230
'[12:00:00.388]',0.155,0.250
'[12:00:00.392]',0.140,0.230
'[12:00:00.396]',0.140,0.220
'[12:00:00.400]',0.175,0.205
'[12:00:00.404]',0.240,0.210
'[12:00:00.408]',0.305,0.200
'[12:00:00.412]',0.320,0.200
'[12:00:00.416]',0.310,0.230
'[12:00:00.420]',0.255,0.250
'[12:00:00.424]',0.235,0.275
'[12:00:00.428]',0.235,0.280
'[12:00:00.432]',0.230,0.280
'[12:00:00.436]',0.215,0.260
'[12:00:00.440]',0.240,0.225
'[12:00:00.444]',0.325,0.195
'[12:00:00.448]',0.390,0.185
'[12:00:00.452]',0.405,0.210
'[12:00:00.456]',0.390,0.230
'[12:00:00.460]',0.380,0.260
'[12:00:00.464]',0.340,0.265
'[12:00:00.468]',0.290,0.260
'[12:00:00.472]',0.255,0.240
'[12:00:00.476]',0.265,0.230
'[12:00:00.480]',0.315,0.220
'[12:00:00.484]',0.360,0.210
'[12:00:00.488]',0.370,0.200
'[12:00:00.492]',0.355,0.205
'[12:00:00.496]',0.345,0.200
'[12:00:00.500]',0.335,0.200
'[12:00:00.504]',0.320,0.190
'[12:00:00.508]',0.315,0.180
'[12:00:00.512]',0.295,0.165
'[12:00:00.516]',0.280,0.170
'[12:00:00.520]',0.260,0.175
'[12:00:00.524]',0.260,0.185
'[12:00:00.528]',0.245,0.195
'[12:00:00.532]',0.240,0.195
'[12:00:00.536]',0.245,0.175
'[12:00:00.540]',0.250,0.155
'[12:00:00.544]',0.265,0.125
'[12:00:00.548]',0.285,0.105
'[12:00:00.552]',0.300,0.110
'[12:00:00.556]',0.260,0.130
'[12:00:00.560]',0.235,0.165
'[12:00:00.564]',0.220,0.190
'[12:00:00.568]',0.195,0.200
'[12:00:00.572]',0.155,0.185
'[12:00:00.576]',0.130,0.160
'[12:00:00.580]',0.175,0.140
'[12:00:00.584]',0.215,0.125
'[12:00:00.588]',0.265,0.095
'[12:00:00.592]',0.280,0.090
'[12:00:00.596]',0.270,0.125
'[12:00:00.600]',0.250,0.155
'[12:00:00.604]',0.220,0.160
'[12:00:00.608]',0.185,0.150
'[12:00:00.612]',0.135,0.115
'[12:00:00.616]',0.115,0.095
'[12:00:00.620]',0.120,0.095
'[12:00:00.624]',0.180,0.110
'[12:00:00.628]',0.230,0.110
'[12:00:00.632]',0.220,0.115
'[12:00:00.636]',0.175,0.115
'[12:00:00.640]',0.140,0.110
'[12:00:00.644]',0.150,0.105
'[12:00:00.648]',0.160,0.100
'[12:00:00.652]',0.160,0.095
'[12:00:00.656]',0.145,0.090
'[12:00:00.660]',0.145,0.105
'[12:00:00.664]',0.150,0.105
'[12:00:00.668]',0.155,0.095
'[12:00:00.672]',0.160,0.090
'[12:00:00.676]',0.125,0.080
'[12:00:00.680]',0.125,0.080
'[12:00:00.684]',0.125,0.075
'[12:00:00.688]',0.125,0.080
'[12:00:00.692]',0.120,0.075
'[12:00:00.696]',0.120,0.095
'[12:00:00.700]',0.120,0.100
'[12:00:00.704]',0.090,0.105
'[12:00:00.708]',0.060,0.095
'[12:00:00.712]',0.050,0.090
'[12:00:00.716]',0.050,0.100
'[12:00:00.720]',0.060,0.100
'[12:00:00.724]',0.075,0.120
'[12:00:00.728]',0.100,0.110
'[12:00:00.732]',0.130,0.100
'[12:00:00.736]',0.140,0.100
'[12:00:00.740]',0.130,0.115
'[12:00:00.744]',0.150,0.140
'[12:00:00.748]',0.160,0.140
'[12:00:00.752]',0.150,0.140
'[12:00:00.756]',0.110,0.140
'[12:00:00.760]',0.115,0.140
'[12:00:00.764]',0.160,0.125
'[12:00:00.768]',0.215,0.125
'[12:00:00.772]',0.235,0.115
'[12:00:00.776]',0.230,0.110
'[12:00:00.780]',0.220,0.120
'[12:00:00.784]',0.205,0.140
'[12:00:00.788]',0.205,0.145
'[12:00:00.792]',0.210,0.140
