'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[14:29:00.000]',-0.062,0.025
'[14:29:00.004]',-0.061,0.028
'[14:29:00.008]',-0.060,0.029
'[14:29:00.012]',-0.059,0.031
'[14:29:00.016]',-0.059,0.029
'[14:29:00.020]',-0.058,0.031
'[14:29:00.024]',-0.051,0.039
'[14:29:00.028]',-0.052,0.050
'[14:29:00.032]',-0.054,0.061
'[14:29:00.036]',-0.052,0.070
'[14:29:00.040]',-0.050,0.071
'[14:29:00.044]',-0.045,0.068
'[14:29:00.048]',-0.044,0.072
'[14:29:00.052]',-0.037,0.069
'[14:29:00.056]',-0.037,0.064
'[14:29:00.060]',-0.028,0.060
'[14:29:00.064]',-0.019,0.064
'[14:29:00.068]',-0.018,0.069
'[14:29:00.072]',-0.020,0.068
'[14:29:00.076]',-0.020,0.068
'[14:29:00.080]',-0.020,0.069
'[14:29:00.084]',-0.024,0.069
'[14:29:00.088]',-0.028,0.066
'[14:29:00.092]',-0.030,0.064
'[14:29:00.096]',-0.029,0.064
'[14:29:00.100]',-0.026,0.062
'[14:29:00.104]',-0.025,0.060
'[14:29:00.108]',-0.022,0.052
'[14:29:00.112]',-0.022,0.049
'[14:29:00.116]',-0.022,0.046
'[14:29:00.120]',-0.028,0.048
'[14:29:00.124]',-0.030,0.041
'[14:29:00.128]',-0.028,0.039
'[14:29:00.132]',-0.030,0.039
'[14:29:00.136]',-0.036,0.039
'[14:29:00.140]',-0.041,0.035
'[14:29:00.144]',-0.045,0.034
'[14:29:00.148]',-0.046,0.033
'[14:29:00.152]',-0.050,0.033
'[14:29:00.156]',-0.056,0.030
'[14:29:00.160]',-0.056,0.028
'[14:29:00.164]',-0.056,0.021
'[14:29:00.168]',-0.055,0.019
'[14:29:00.172]',-0.062,0.020
'[14:29:00.176]',-0.065,0.018
'[14:29:00.180]',-0.064,0.018
'[14:29:00.184]',-0.064,0.018
'[14:29:00.188]',-0.066,0.015
'[14:29:00.192]',-0.071,0.014
'[14:29:00.196]',-0.075,0.013
'[14:29:00.200]',-0.076,0.011
'[14:29:00.204]',-0.076,0.015
'[14:29:00.208]',-0.079,0.018
'[14:29:00.212]',-0.084,0.019
'[14:29:00.216]',-0.081,0.020
'[14:29:00.220]',-0.081,0.024
'[14:29:00.224]',-0.085,0.028
'[14:29:00.228]',-0.087,0.030
'[14:29:00.232]',-0.086,0.030
'[14:29:00.236]',-0.087,0.031
'[14:29:00.240]',-0.090,0.035
'[14:29:00.244]',-0.090,0.036
'[14:29:00.248]',-0.087,0.036
'[14:29:00.252]',-0.083,0.039
'[14:29:00.256]',-0.079,0.044
'[14:29:00.260]',-0.074,0.049
'[14:29:00.264]',-0.077,0.050
'[14:29:00.268]',-0.079,0.055
'[14:29:00.272]',-0.077,0.061
'[14:29:00.276]',-0.079,0.071
'[14:29:00.280]',-0.076,0.070
'[14:29:00.284]',-0.072,0.070
'[14:29:00.288]',-0.069,0.072
'[14:29:00.292]',-0.071,0.074
'[14:29:00.296]',-0.074,0.070
'[14:29:00.300]',-0.072,0.066
'[14:29:00.304]',-0.065,0.066
'[14:29:00.308]',-0.061,0.065
'[14:29:00.312]',-0.061,0.066
'[14:29:00.316]',-0.061,0.065
'[14:29:00.320]',-0.058,0.065
'[14:29:00.324]',-0.055,0.066
'[14:29:00.328]',-0.061,0.070
'[14:29:00.332]',-0.065,0.072
'[14:29:00.336]',-0.066,0.070
'[14:29:00.340]',-0.066,0.070
'[14:29:00.344]',-0.066,0.066
'[14:29:00.348]',-0.068,0.065
'[14:29:00.352]',-0.065,0.058
'[14:29:00.356]',-0.065,0.054
'[14:29:00.360]',-0.064,0.049
'[14:29:00.364]',-0.066,0.049
'[14:29:00.368]',-0.069,0.045
'[14:29:00.372]',-0.069,0.041
'[14:29:00.376]',-0.070,0.039
'[14:29:00.380]',-0.074,0.039
'[14:29:00.384]',-0.081,0.035
'[14:29:00.388]',-0.081,0.031
'[14:29:00.392]',-0.086,0.034
'[14:29:00.396]',-0.090,0.040
'[14:29:00.400]',-0.095,0.041
'[14:29:00.404]',-0.098,0.039
'[14:29:00.408]',-0.099,0.035
'[14:29:00.412]',-0.100,0.035
'[14:29:00.416]',-0.105,0.031
'[14:29:00.420]',-0.105,0.031
'[14:29:00.424]',-0.101,0.029
'[14:29:00.428]',-0.096,0.029
'[14:29:00.432]',-0.099,0.030
'[14:29:00.436]',-0.102,0.031
'[14:29:00.440]',-0.104,0.029
'[14:29:00.444]',-0.107,0.029
'[14:29:00.448]',-0.111,0.031
'[14:29:00.452]',-0.114,0.031
'[14:29:00.456]',-0.113,0.028
'[14:29:00.460]',-0.109,0.028
