'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[21:50:00.000]',0.421,0.521
'[21:50:00.004]',0.398,0.559
'[21:50:00.008]',0.366,0.585
'[21:50:00.012]',0.344,0.616
'[21:50:00.016]',0.312,0.625
'[21:50:00.020]',0.290,0.646
'[21:50:00.024]',0.268,0.645
'[21:50:00.028]',0.237,0.657
'[21:50:00.032]',0.212,0.654
'[21:50:00.036]',0.184,0.659
'[21:50:00.040]',0.160,0.661
'[21:50:00.044]',0.135,0.652
'[21:50:00.048]',0.119,0.655
'[21:50:00.052]',0.110,0.639
'[21:50:00.056]',0.107,0.646
'[21:50:00.060]',0.119,0.634
'[21:50:00.064]',0.140,0.640
'[21:50:00.068]',0.171,0.637
'[21:50:00.072]',0.205,0.639
'[21:50:00.076]',0.245,0.640
'[21:50:00.080]',0.278,0.634
'[21:50:00.084]',0.314,0.642
'[21:50:00.088]',0.336,0.632
'[21:50:00.092]',0.362,0.641
'[21:50:00.096]',0.378,0.634
'[21:50:00.100]',0.390,0.639
'[21:50:00.104]',0.405,0.634
'[21:50:00.108]',0.409,0.632
'[21:50:00.112]',0.422,0.632
'[21:50:00.116]',0.420,0.626
'[21:50:00.120]',0.425,0.631
'[21:50:00.124]',0.419,0.626
'[21:50:00.128]',0.415,0.635
'[21:50:00.132]',0.411,0.634
'[21:50:00.136]',0.405,0.644
'[21:50:00.140]',0.409,0.652
'[21:50:00.144]',0.400,0.675
'[21:50:00.148]',0.404,0.721
'[21:50:00.152]',0.396,0.779
'[21:50:00.156]',0.399,0.866
'[21:50:00.160]',0.395,0.958
'[21:50:00.164]',0.395,1.070
'[21:50:00.168]',0.400,1.163
'[21:50:00.172]',0.398,1.235
'[21:50:00.176]',0.404,1.260
'[21:50:00.180]',0.401,1.232
'[21:50:00.184]',0.406,1.164
'[21:50:00.188]',0.403,1.054
'[21:50:00.192]',0.401,0.943
'[21:50:00.196]',0.400,0.820
'[21:50:00.200]',0.396,0.715
'[21:50:00.204]',0.400,0.620
'[21:50:00.208]',0.393,0.550
'[21:50:00.212]',0.396,0.502
'[21:50:00.216]',0.391,0.465
'[21:50:00.220]',0.393,0.448
'[21:50:00.224]',0.394,0.427
'[21:50:00.228]',0.409,0.416
'[21:50:00.232]',0.444,0.401
'[21:50:00.236]',0.482,0.391
'[21:50:00.240]',0.557,0.381
'[21:50:00.244]',0.627,0.370
'[21:50:00.248]',0.720,0.364
'[21:50:00.252]',0.792,0.349
'[21:50:00.256]',0.856,0.340
'[21:50:00.260]',0.890,0.325
'[21:50:00.264]',0.875,0.314
'[21:50:00.268]',0.839,0.300
'[21:50:00.272]',0.760,0.289
'[21:50:00.276]',0.681,0.281
'[21:50:00.280]',0.588,0.264
'[21:50:00.284]',0.504,0.255
'[21:50:00.288]',0.427,0.239
'[21:50:00.292]',0.370,0.225
'[21:50:00.296]',0.334,0.209
'[21:50:00.300]',0.302,0.191
'[21:50:00.304]',0.286,0.177
'[21:50:00.308]',0.265,0.155
'[21:50:00.312]',0.255,0.136
'[21:50:00.316]',0.239,0.113
'[21:50:00.320]',0.229,0.095
'[21:50:00.324]',0.219,0.072
'[21:50:00.328]',0.203,0.055
'[21:50:00.332]',0.190,0.043
'[21:50:00.336]',0.176,0.037
'[21:50:00.340]',0.166,0.048
'[21:50:00.344]',0.151,0.069
'[21:50:00.348]',0.142,0.110
'[21:50:00.352]',0.133,0.163
'[21:50:00.356]',0.121,0.230
'[21:50:00.360]',0.110,0.295
'[21:50:00.364]',0.099,0.369
'[21:50:00.368]',0.087,0.427
'[21:50:00.372]',0.074,0.479
'[21:50:00.376]',0.064,0.517
'[21:50:00.380]',0.049,0.540
'[21:50:00.384]',0.037,0.564
'[21:50:00.388]',0.022,0.566
'[21:50:00.392]',0.006,0.580
'[21:50:00.396]',-0.007,0.575
'[21:50:00.400]',-0.024,0.580
'[21:50:00.404]',-0.040,0.573
'[21:50:00.408]',-0.059,0.568
'[21:50:00.412]',-0.071,0.565
'[21:50:00.416]',-0.079,0.556
'[21:50:00.420]',-0.079,0.557
'[21:50:00.424]',-0.060,0.549
'[21:50:00.428]',-0.030,0.551
'[21:50:00.432]',0.018,0.541
'[21:50:00.436]',0.072,0.540
'[21:50:00.440]',0.138,0.532
'[21:50:00.444]',0.198,0.529
'[21:50:00.448]',0.255,0.526
'[21:50:00.452]',0.304,0.522
'[21:50:00.456]',0.345,0.527
'[21:50:00.460]',0.375,0.520
'[21:50:00.464]',0.395,0.524
'[21:50:00.468]',0.412,0.514
'[21:50:00.472]',0.412,0.514
'[21:50:00.476]',0.425,0.512
'[21:50:00.480]',0.422,0.510
'[21:50:00.484]',0.429,0.512
'[21:50:00.488]',0.425,0.506
'[21:50:00.492]',0.425,0.506
'[21:50:00.496]',0.425,0.497
'[21:50:00.500]',0.422,0.494
'[21:50:00.504]',0.427,0.487
'[21:50:00.508]',0.420,0.481
'[21:50:00.512]',0.424,0.477
'[21:50:00.516]',0.415,0.466
'[21:50:00.520]',0.416,0.463
'[21:50:00.524]',0.412,0.450
'[21:50:00.528]',0.414,0.444
'[21:50:00.532]',0.417,0.436
'[21:50:00.536]',0.407,0.431
'[21:50:00.540]',0.412,0.429
'[21:50:00.544]',0.405,0.424
'[21:50:00.548]',0.406,0.429
'[21:50:00.552]',0.399,0.422
'[21:50:00.556]',0.400,0.426
'[21:50:00.560]',0.403,0.421
'[21:50:00.564]',0.398,0.422
'[21:50:00.568]',0.401,0.422
'[21:50:00.572]',0.394,0.424
