'Time','ECG','ECG'
'hh:mm:ss.mmm','mV','mV'
'[12:00:00.000]',-1.411,0.690
'[12:00:00.004]',-1.440,0.704
'[12:00:00.008]',-1.431,0.696
'[12:00:00.012]',-1.451,0.701
'[12:00:00.016]',-1.444,0.679
'[12:00:00.020]',-1.440,0.667
'[12:00:00.024]',-1.452,0.640
'[12:00:00.028]',-1.444,0.615
'[12:00:00.032]',-1.459,0.584
'[12:00:00.036]',-1.442,0.546
'[12:00:00.040]',-1.451,0.522
'[12:00:00.044]',-1.426,0.490
'[12:00:00.048]',-1.413,0.471
'[12:00:00.052]',-1.386,0.440
'[12:00:00.056]',-1.340,0.416
'[12:00:00.060]',-1.291,0.391
'[12:00:00.064]',-1.215,0.375
'[12:00:00.068]',-1.145,0.357
'[12:00:00.072]',-1.010,0.345
'[12:00:00.076]',-0.880,0.339
'[12:00:00.080]',-0.728,0.330
'[12:00:00.084]',-0.591,0.328
'[12:00:00.088]',-0.430,0.321
'[12:00:00.092]',-0.271,0.318
'[12:00:00.096]',-0.135,0.316
'[12:00:00.100]',-0.028,0.318
'[12:00:00.104]',0.068,0.323
'[12:00:00.108]',0.149,0.324
'[12:00:00.112]',0.206,0.328
'[12:00:00.116]',0.241,0.324
'[12:00:00.120]',0.266,0.324
'[12:00:00.124]',0.292,0.325
'[12:00:00.128]',0.296,0.326
'[12:00:00.132]',0.301,0.325
'[12:00:00.136]',0.301,0.326
'[12:00:00.140]',0.306,0.335
'[12:00:00.144]',0.304,0.336
'[12:00:00.148]',0.302,0.340
'[12:00:00.152]',0.309,0.341
'[12:00:00.156]',0.300,0.346
'[12:00:00.160]',0.294,0.349
'[12:00:00.164]',0.280,0.350
'[12:00:00.168]',0.275,0.355
'[12:00:00.172]',0.264,0.352
'[12:00:00.176]',0.254,0.361
'[12:00:00.180]',0.245,0.357
'[12:00:00.184]',0.239,0.361
'[12:00:00.188]',0.228,0.362
'[12:00:00.192]',0.207,0.360
'[12:00:00.196]',0.195,0.362
'[12:00:00.200]',0.181,0.364
'[12:00:00.204]',0.175,0.381
'[12:00:00.208]',0.159,0.396
'[12:00:00.212]',0.150,0.430
'[12:00:00.216]',0.142,0.456
'[12:00:00.220]',0.128,0.489
'[12:00:00.224]',0.117,0.510
'[12:00:00.228]',0.115,0.527
'[12:00:00.232]',0.121,0.537
'[12:00:00.236]',0.134,0.505
'[12:00:00.240]',0.159,0.459
'[12:00:00.244]',0.190,0.395
'[12:00:00.248]',0.220,0.355
'[12:00:00.252]',0.237,0.323
'[12:00:00.256]',0.241,0.310
'[12:00:00.260]',0.253,0.309
'[12:00:00.264]',0.265,0.314
'[12:00:00.268]',0.280,0.325
'[12:00:00.272]',0.260,0.323
'[12:00:00.276]',0.228,0.324
'[12:00:00.280]',0.194,0.318
'[12:00:00.284]',0.165,0.326
'[12:00:00.288]',0.149,0.331
'[12:00:00.292]',0.135,0.340
'[12:00:00.296]',0.131,0.352
'[12:00:00.300]',0.122,0.367
'[12:00:00.304]',0.116,0.383
'[12:00:00.308]',0.111,0.391
'[12:00:00.312]',0.109,0.410
'[12:00:00.316]',0.099,0.424
'[12:00:00.320]',0.087,0.454
'[12:00:00.324]',0.074,0.474
'[12:00:00.328]',0.050,0.496
'[12:00:00.332]',0.022,0.500
'[12:00:00.336]',-0.013,0.477
'[12:00:00.340]',-0.039,0.435
'[12:00:00.344]',-0.056,0.364
'[12:00:00.348]',-0.055,0.297
'[12:00:00.352]',-0.019,0.226
'[12:00:00.356]',0.045,0.163
'[12:00:00.360]',0.134,0.104
'[12:00:00.364]',0.237,0.050
'[12:00:00.368]',0.393,0.001
'[12:00:00.372]',0.594,-0.050
'[12:00:00.376]',0.806,-0.102
'[12:00:00.380]',1.022,-0.141
'[12:00:00.384]',1.245,-0.141
'[12:00:00.388]',1.466,-0.081
'[12:00:00.392]',1.607,0.006
'[12:00:00.396]',1.698,0.043
'[12:00:00.400]',1.756,-0.059
'[12:00:00.404]',1.864,-0.271
'[12:00:00.408]',1.975,-0.474
'[12:00:00.412]',2.087,-0.632
'[12:00:00.416]',2.189,-0.735
'[12:00:00.420]',2.264,-0.792
'[12:00:00.424]',2.328,-0.799
'[12:00:00.428]',2.350,-0.767
'[12:00:00.432]',2.384,-0.699
'[12:00:00.436]',2.389,-0.580
'[12:00:00.440]',2.404,-0.439
'[12:00:00.444]',2.406,-0.314
'[12:00:00.448]',2.415,-0.234
'[12:00:00.452]',2.434,-0.164
'[12:00:00.456]',2.429,-0.095
'[12:00:00.460]',2.444,-0.018
'[12:00:00.464]',2.428,0.066
'[12:00:00.468]',2.433,0.152
'[12:00:00.472]',2.419,0.217
'[12:00:00.476]',2.420,0.270
'[12:00:00.480]',2.408,0.295
'[12:00:00.484]',2.366,0.314
'[12:00:00.488]',2.286,0.324
'[12:00:00.492]',1.975,0.331
'[12:00:00.496]',1.326,0.340
'[12:00:00.500]',0.552,0.330
'[12:00:00.504]',-0.091,0.326
'[12:00:00.508]',-0.424,0.314
'[12:00:00.512]',-0.591,0.312
'[12:00:00.516]',-0.672,0.300
'[12:00:00.520]',-0.721,0.294
'[12:00:00.524]',-0.759,0.281
'[12:00:00.528]',-0.775,0.270
'[12:00:00.532]',-0.805,0.264
'[12:00:00.536]',-0.815,0.255
'[12:00:00.540]',-0.849,0.254
'[12:00:00.544]',-0.860,0.245
'[12:00:00.548]',-0.884,0.247
'[12:00:00.552]',-0.899,0.249
'[12:00:00.556]',-0.914,0.255
'[12:00:00.560]',-0.944,0.259
'[12:00:00.564]',-0.956,0.265
'[12:00:00.568]',-0.991,0.274
'[12:00:00.572]',-1.011,0.285
'[12:00:00.576]',-1.061,0.309
'[12:00:00.580]',-1.087,0.324
'[12:00:00.584]',-1.121,0.349
'[12:00:00.588]',-1.160,0.366
'[12:00:00.592]',-1.195,0.390
'[12:00:00.596]',-1.242,0.415
'[12:00:00.600]',-1.268,0.440
'[12:00:00.604]',-1.317,0.468
'[12:00:00.608]',-1.344,0.489
'[12:00:00.612]',-1.389,0.524
'[12:00:00.616]',-1.397,0.547
'[12:00:00.620]',-1.416,0.576
'[12:00:00.624]',-1.446,0.593
'[12:00:00.628]',-1.459,0.611
'[12:00:00.632]',-1.491,0.624
'[12:00:00.636]',-1.492,0.630
'[12:00:00.640]',-1.520,0.639
'[12:00:00.644]',-1.518,0.636
'[12:00:00.648]',-1.526,0.642
'[12:00:00.652]',-1.538,0.629
'[12:00:00.656]',-1.539,0.618
'[12:00:00.660]',-1.560,0.590
'[12:00:00.664]',-1.556,0.562
'[12:00:00.668]',-1.577,0.532
'[12:00:00.672]',-1.564,0.497
'[12:00:00.676]',-1.575,0.465
'[12:00:00.680]',-1.569,0.427
'[12:00:00.684]',-1.567,0.396
'[12:00:00.688]',-1.564,0.360
'[12:00:00.692]',-1.549,0.328
'[12:00:00.696]',-1.545,0.299
'[12:00:00.700]',-1.500,0.278
'[12:00:00.704]',-1.465,0.263
'[12:00:00.708]',-1.395,0.241
'[12:00:00.712]',-1.327,0.230
'[12:00:00.716]',-1.229,0.215
'[12:00:00.720]',-1.109,0.204
'[12:00:00.724]',-0.988,0.195
'[12:00:00.728]',-0.865,0.188
'[12:00:00.732]',-0.745,0.185
'[12:00:00.736]',-0.615,0.176
'[12:00:00.740]',-0.516,0.175
'[12:00:00.744]',-0.445,0.170
'[12:00:00.748]',-0.386,0.170
'[12:00:00.752]',-0.334,0.166
'[12:00:00.756]',-0.301,0.164
'[12:00:00.760]',-0.285,0.159
'[12:00:00.764]',-0.270,0.156
'[12:00:00.768]',-0.260,0.156
'[12:00:00.772]',-0.253,0.151
'[12:00:00.776]',-0.260,0.151
'[12:00:00.780]',-0.260,0.150
'[12:00:00.784]',-0.268,0.150
'[12:00:00.788]',-0.274,0.145
'[12:00:00.792]',-0.282,0.138
'[12:00:00.796]',-0.296,0.136
'[12:00:00.800]',-0.301,0.131
'[12:00:00.804]',-0.316,0.129
'[12:00:00.808]',-0.325,0.125
'[12:00:00.812]',-0.343,0.129
'[12:00:00.816]',-0.355,0.126
'[12:00:00.820]',-0.370,0.129
'[12:00:00.824]',-0.386,0.126
'[12:00:00.828]',-0.395,0.122
'[12:00:00.832]',-0.414,0.126
'[12:00:00.836]',-0.430,0.130
'[12:00:00.840]',-0.458,0.140
'[12:00:00.844]',-0.472,0.159
'[12:00:00.848]',-0.495,0.189
'[12:00:00.852]',-0.507,0.214
'[12:00:00.856]',-0.512,0.237
'[12:00:00.860]',-0.524,0.254
'[12:00:00.864]',-0.524,0.259
'[12:00:00.868]',-0.530,0.241
'[12:00:00.872]',-0.512,0.190
'[12:00:00.876]',-0.500,0.129
'[12:00:00.880]',-0.481,0.068
'[12:00:00.884]',-0.469,0.029
'[12:00:00.888]',-0.464,0.001
'[12:00:00.892]',-0.459,-0.010
'[12:00:00.896]',-0.456,-0.009
'[12:00:00.900]',-0.450,-0.001
'[12:00:00.904]',-0.461,-0.004
'[12:00:00.908]',-0.480,-0.013
'[12:00:00.912]',-0.517,-0.025
'[12:00:00.916]',-0.542,-0.033
'[12:00:00.920]',-0.560,-0.035
'[12:00:00.924]',-0.571,-0.030
'[12:00:00.928]',-0.583,-0.022
'[12:00:00.932]',-0.601,-0.011
'[12:00:00.936]',-0.610,0.006
'[12:00:00.940]',-0.627,0.021
'[12:00:00.944]',-0.639,0.030
'[12:00:00.948]',-0.655,0.043
'[12:00:00.952]',-0.669,0.060
'[12:00:00.956]',-0.676,0.081
'[12:00:00.960]',-0.701,0.096
'[12:00:00.964]',-0.726,0.098
'[12:00:00.968]',-0.766,0.075
'[12:00:00.972]',-0.786,0.028
'[12:00:00.976]',-0.807,-0.039
'[12:00:00.980]',-0.809,-0.111
'[12:00:00.984]',-0.785,-0.185
'[12:00:00.988]',-0.736,-0.251
'[12:00:00.992]',-0.677,-0.309
'[12:00:00.996]',-0.581,-0.360
'[12:00:01.000]',-0.429,-0.409
'[12:00:01.004]',-0.236,-0.469
'[12:00:01.008]',-0.025,-0.517
'[12:00:01.012]',0.231,-0.559
'[12:00:01.016]',0.520,-0.556
'[12:00:01.020]',0.751,-0.520
'[12:00:01.024]',0.919,-0.460
'[12:00:01.028]',1.015,-0.435
'[12:00:01.032]',1.133,-0.517
'[12:00:01.036]',1.235,-0.682
'[12:00:01.040]',1.409,-0.861
'[12:00:01.044]',1.609,-0.974
'[12:00:01.048]',1.833,-1.086
'[12:00:01.052]',2.000,-1.137
'[12:00:01.056]',2.074,-1.156
'[12:00:01.060]',2.140,-1.136
'[12:00:01.064]',2.167,-1.076
'[12:00:01.068]',2.216,-0.989
'[12:00:01.072]',2.229,-0.866
'[12:00:01.076]',2.259,-0.786
'[12:00:01.080]',2.275,-0.710
'[12:00:01.084]',2.283,-0.661
'[12:00:01.088]',2.295,-0.605
'[12:00:01.092]',2.280,-0.545
'[12:00:01.096]',2.289,-0.472
'[12:00:01.100]',2.269,-0.390
'[12:00:01.104]',2.284,-0.330
'[12:00:01.108]',2.280,-0.285
'[12:00:01.112]',2.286,-0.265
'[12:00:01.116]',2.255,-0.246
'[12:00:01.120]',2.150,-0.244
'[12:00:01.124]',1.849,-0.241
'[12:00:01.128]',1.145,-0.244
'[12:00:01.132]',0.374,-0.250
'[12:00:01.136]',-0.323,-0.256
'[12:00:01.140]',-0.760,-0.274
'[12:00:01.144]',-0.932,-0.280
'[12:00:01.148]',-1.021,-0.294
'[12:00:01.152]',-1.061,-0.297
'[12:00:01.156]',-1.089,-0.311
'[12:00:01.160]',-1.124,-0.316
'[12:00:01.164]',-1.130,-0.325
'[12:00:01.168]',-1.160,-0.334
'[12:00:01.172]',-1.167,-0.331
'[12:00:01.176]',-1.192,-0.336
'[12:00:01.180]',-1.194,-0.333
'[12:00:01.184]',-1.202,-0.336
'[12:00:01.188]',-1.220,-0.330
'[12:00:01.192]',-1.224,-0.328
'[12:00:01.196]',-1.250,-0.315
'[12:00:01.200]',-1.262,-0.302
'[12:00:01.204]',-1.300,-0.291
'[12:00:01.208]',-1.310,-0.271
'[12:00:01.212]',-1.335,-0.259
'[12:00:01.216]',-1.350,-0.239
'[12:00:01.220]',-1.370,-0.220
'[12:00:01.224]',-1.395,-0.190
'[12:00:01.228]',-1.407,-0.161
'[12:00:01.232]',-1.445,-0.138
'[12:00:01.236]',-1.450,-0.107
'[12:00:01.240]',-1.482,-0.081
'[12:00:01.244]',-1.481,-0.056
'[12:00:01.248]',-1.495,-0.034
'[12:00:01.252]',-1.508,-0.010
'[12:00:01.256]',-1.516,0.010
'[12:00:01.260]',-1.539,0.028
'[12:00:01.264]',-1.535,0.043
'[12:00:01.268]',-1.560,0.050
'[12:00:01.272]',-1.552,0.054
'[12:00:01.276]',-1.566,0.052
'[12:00:01.280]',-1.569,0.049
'[12:00:01.284]',-1.579,0.037
'[12:00:01.288]',-1.597,0.018
'[12:00:01.292]',-1.593,-0.005
'[12:00:01.296]',-1.611,-0.034
'[12:00:01.300]',-1.596,-0.065
'[12:00:01.304]',-1.611,-0.102
'[12:00:01.308]',-1.601,-0.141
'[12:00:01.312]',-1.609,-0.184
'[12:00:01.316]',-1.607,-0.220
'[12:00:01.320]',-1.605,-0.256
'[12:00:01.324]',-1.619,-0.289
'[12:00:01.328]',-1.596,-0.312
'[12:00:01.332]',-1.604,-0.338
'[12:00:01.336]',-1.569,-0.356
'[12:00:01.340]',-1.562,-0.378
'[12:00:01.344]',-1.522,-0.385
'[12:00:01.348]',-1.485,-0.400
'[12:00:01.352]',-1.444,-0.405
'[12:00:01.356]',-1.379,-0.415
'[12:00:01.360]',-1.320,-0.419
'[12:00:01.364]',-1.228,-0.422
'[12:00:01.368]',-1.177,-0.435
'[12:00:01.372]',-1.117,-0.432
